,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Summertime_Blues/alan_jackson+Who_I_Am+01-Summertime_Bluesmp3,0.0, D, major,0.0, 161.812835693,0.0,0.0,0.0,0.0017272531978567323,0.00028787553297612205
1,music/She_Came_In_Through_The_Bathroom_Window/beatles+Abbey_Road+13-She_Came_In_Through_The_Bathroom_Windowmp3,0.4026043935448148, D, major,0.36639676113360325, 162.58531189,0.1394505434005751,0.08274650782701029,0.9576572501218372,0.002524413540314229,0.32522997826135913
2,music/Waiting_In_Vain/annie_lennox+Medusa+09-Waiting_In_Vainmp3,0.47210876115866074, C#, major,0.5708502024291497, 161.648529053,0.08270966523112551,0.04207517077269404,0.915435077693532,0.0008842547342102002,0.34734385533656204
3,music/Yesterday/en_vogue+Funky_Divas+09-Yesterdaymp3,0.4510718989599371, F, major,0.3633603238866397, 161.960662842,0.13346485510620026,0.37241877990757827,0.9547836060453502,0.005276503208644919,0.380062661185725
4,music/Come_Together/beatles+1+25-Come_Togethermp3,0.46189345709451624, D, minor,0.45040485829959515, 172.265731812,0.5105715708798184,0.13138964137540446,0.949762472213827,0.0042791660004192844,0.4180501943105968
5,music/Love_Hurts/heart+The_Road_Home+07-Love_Hurtsmp3,0.5844506186204895, G, major,0.40789473684210525, 117.453948975,0.6336696477529526,0.09137805820197874,0.8535868949379855,0.0037855232268098247,0.4291275799303869
6,music/Come_Together/aerosmith+Live_Bootleg+06-Come_Togethermp3,0.5071181365304022, D, minor,0.5, 163.776016235,0.38101234472497214,0.26551251520954255,0.9367793260462559,0.006044048733669309,0.43274439520747365
7,music/My_Heart_Will_Go_On/new_found_glory+From_the_Screen_to_Your_Stereo+07-My_Heart_Will_Go_Onmp3,0.5505140408066157, E, major,0.29554655870445345, 101.541908264,0.6529260420764104,0.16720384347507716,0.9284080497185412,0.0022938651805422504,0.43281539999360663
8,music/Claudette/everly_brothers+The_Fabulous_Style_of+01-Claudettemp3,0.537097631381436, E, major,0.33704453441295545, 155.37802124,0.6121841951964373,0.15434436696795784,0.953462262895712,0.005701551835667936,0.4333057571150278
9,music/Happiness_is_a_Warm_Gun/beatles+White_Album_Disc_1+08-Happiness_is_a_Warm_Gunmp3,0.559607466749737, A, minor,0.37044534412955465, 140.106704712,0.6500819328942042,0.030543023444983126,0.9661276841096853,0.027285970978782225,0.4340152370511578
10,music/I_Don_t_Like_Mondays/boomtown_rats+Best_of_the_Boomtown_Rats+10-I_Don_t_Like_Mondaysmp3,0.5776275217439304, B, major,0.3765182186234818, 143.92578125,0.6973491156293673,0.03647494923138583,0.9227989308909808,0.0014015557727664356,0.4353617153153187
11,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3,0.5383801017897504, D, major,0.3714574898785425, 107.710151672,0.7024465641497295,0.06944105823974303,0.9380519064158832,0.001306005686808026,0.43684718769340947
12,music/Waiting_In_Vain/bob_marley_the_wailers+Legend+10-Waiting_in_Vainmp3,0.5399723317418166, C#, major,0.4898785425101215, 155.625091553,0.4040616588048671,0.2225751335067538,0.9423570981536682,0.02503253020994269,0.4373128824878616
13,music/Enjoy_The_Silence/tori_amos+Strange_Little_Girls+04-Enjoy_the_Silencemp3,0.6204947936947522, A#, major,0.42611336032388664, 163.905609131,0.4757831870449536,0.14927134012197313,0.9329433005285352,0.02278163134724383,0.43789793551022416
14,music/Let_It_Be/beatles+1+26-Let_It_Bemp3,0.5666538010264556, C, major,0.3522267206477733, 139.700973511,0.707449633070274,0.09861417076970391,0.900680822641216,0.003419639496383117,0.4381741312753009
15,music/Don_t_Let_It_Bring_You_Down/annie_lennox+Medusa+04-Don_t_Let_It_Bring_You_Downmp3,0.584363625782743, F, major,0.32793522267206476, 137.225463867,0.7663924907620953,0.07868926856095772,0.8764103809512706,0.0014367866458017875,0.43920462922915554
16,music/Lady/styx+Return_To_Paradise_Disc_1_+05-Ladymp3,0.5312026577959361, G, major,0.3410931174089069, 128.87399292,0.7354127566169706,0.10755949842370056,0.9306467704636204,0.0019405455472771133,0.4413092243760686
17,music/I_Don_t_Want_To_Miss_A_Thing/new_found_glory+From_the_Screen_to_Your_Stereo+03-I_Don_t_Want_To_Miss_A_Thingmp3,0.5586381791153859, D, major,0.3876518218623482, 96.5412216187,0.7110564856626409,0.05154073344464757,0.9420701033126617,0.0026807801089571482,0.4422730172511069
18,music/Night_Time_Is_The_Right_Time/aretha_franklin+Aretha_Now+04-Night_Time_Is_The_Right_Timemp3,0.5884037220782088, F, major,0.3188259109311741, 103.113929749,0.7537400819603424,0.04465647738522229,0.9431634398196709,0.005934493780723283,0.442454020992557
19,music/Straight_From_The_Heart/bryan_adams+So_Far_So_Good+02-Straight_From_The_Heartmp3,0.5727234021431132, C, major,0.32186234817813764, 84.6679153442,0.8103400241501982,0.038715733469565354,0.9149365784145003,0.0009825953541569665,0.4432601136182786
20,music/Ooby_Dooby/roy_orbison+Black_and_White_Night+05-Ooby_Doobymp3,0.5717660102337467, E, major,0.41700404858299595, 163.758422852,0.4484214959145457,0.23993764239825208,0.9540272072222359,0.03597004481661138,0.44452107486139797
21,music/I_Don_t_Like_Mondays/tori_amos+Strange_Little_Girls+09-I_Don_t_Like_Mondaysmp3,0.632017215424733, B, major,0.3785425101214575, 110.872032166,0.6698856022125788,0.07054717973246709,0.9045112756913228,0.0164448237888784,0.44532476782857294
22,music/Let_It_Be/nick_cave+I_am_Sam+20-Let_It_Bemp3,0.6254126490067925, C, major,0.3006072874493927, 136.383224487,0.7511208897103644,0.06383580122823666,0.9185164540980301,0.013564633620344997,0.44550961918552695
