,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/We_Can_Work_It_Out/beatles+1+13-We_Can_Work_It_Outmp3,0.0, D, major,0.0, 107.710151672,0.0,0.0,0.0,0.00041952096500145846,6.99201608335764e-05
1,music/I_Don_t_Like_Mondays/tori_amos+Strange_Little_Girls+09-I_Don_t_Like_Mondaysmp3,0.4024121065538228, B, major,0.2911169744942832, 110.872032166,0.21363771837428563,0.10188142510449327,0.650552847832722,0.01625744950611853,0.2793097536442876
2,music/Let_It_Be/beatles+1+26-Let_It_Bemp3,0.32754265616944317, C, major,0.32629727352682497, 139.700973511,0.589405016236117,0.15165887906484843,0.3001767009782673,0.0038785769935735077,0.28315985049484566
3,music/My_Heart_Will_Go_On/new_found_glory+From_the_Screen_to_Your_Stereo+07-My_Heart_Will_Go_Onmp3,0.29929856189140985, E, major,0.1838170624450308, 101.541908264,0.43649652465767286,0.11640888106280785,0.7336309937974204,0.001596503252636016,0.295208087851163
4,music/We_Can_Work_It_Out/tesla+Five_Man_Acoustical_Jam+04-We_Can_Work_It_Outmp3,0.2627564872581733, G, major,0.16886543535620052, 107.157066345,0.20846155724892537,0.2530063961340817,0.8913464959146892,0.0023679263677154065,0.29780071637996425
5,music/Let_It_Be/beatles+Let_It_Be+06-Let_It_Bemp3,0.30416162082824366, C, major,0.3518029903254178, 137.028686523,0.584207437966528,0.28345449847222703,0.2720947180708959,0.006015014069070396,0.3002893799553972
6,music/I_Don_t_Want_To_Miss_A_Thing/new_found_glory+From_the_Screen_to_Your_Stereo+03-I_Don_t_Want_To_Miss_A_Thingmp3,0.3255938097406751, D, major,0.15127528583992964, 96.5412216187,0.57004150028862,0.03401573193245299,0.7237671597726265,0.0014271812998004178,0.3010201114790174
7,music/I_Can_t_Get_Next_To_You/annie_lennox+Medusa+06-I_Can_t_Get_Next_To_Yoump3,0.4384991629374608, C, minor,0.21899736147757257, 108.988868713,0.48869153088631145,0.04821564575380345,0.6118686362594439,0.00022618646598984536,0.30108308729676364
8,music/Cecilia/paul_simon+Concert_in_the_Park_Disc_2+11-Ceciliamp3,0.33672198622244115, G, major,0.22427440633245382, 110.373329163,0.2580018604090668,0.22386882197648802,0.7769889335527815,0.009223155908292643,0.30484652740025403
9,music/Purple_Rain/leann_rimes+Sittin_On_Top_Of_The_World+15-Purple_Rainmp3,0.2942973552131789, D, major,0.35356200527704484, 111.819168091,0.4992867874010906,0.07268196082401174,0.6069767242609463,0.003272511786977266,0.30501289079387495
10,music/Never_Let_Me_Down_Again/depeche_mode+Music_For_The_Masses+01-Never_Let_Me_Down_Againmp3,0.45092451851753, C, major,0.3447669305189094, 106.159973145,0.40510469419169526,0.06315062216456259,0.5674717301925334,0.005830338408058991,0.30620813899888155
11,music/Between_The_Bars/glen_phillips+Capitol_Garage+35-Between_The_Barsmp3,0.39882237978374147, C, major,0.1741424802110818, 91.3132629395,0.48680440462942576,0.14364640913413768,0.6658663404645025,0.008501071768796645,0.31296384766528096
12,music/Real_Men/tori_amos+Strange_Little_Girls+12-Real_Menmp3,0.3610436009308338, F#, minor,0.2955145118733509, 111.568817139,0.2771961778177151,0.21110657648321848,0.748695540621731,0.009290342714238863,0.3171411250735147
13,music/Night_Time_Is_The_Right_Time/creedence_clearwater_revival+The_Concert+12-Night_Time_Is_The_Right_Timemp3,0.4214469857572498, E, major,0.22867194371152155, 109.347229004,0.30612469575877316,0.1483547869775669,0.783321481793968,0.02207645411540716,0.3183327246857478
14,music/Time/tori_amos+Strange_Little_Girls+07-Timemp3,0.47808920434607155, B, major,0.4476693051890941, 135.985366821,0.38233498446807623,0.08352306177956913,0.5045658549783195,0.021867224955527148,0.3196749392861096
