,id,scaled_rp,key,scale,scaled_levenshtein,scaled_mfcc,aggregated
0,music/Songs/Klassik/Rachmaninoff-IdilBiret-Op3_No2PreludeinC-SharpMinormp3,0.0, C#, minor,0.0,0.0,0.0
1,music/Jazz&Klassik/PianoCollection/CD4-Brahms/08PianoSonataN°3inFminorOp5-IVIntermezzoandantemoltowav,0.02438883344823013, A#, minor,0.08036107441655659,0.037534980198715706,0.04742829602116747
2,music/Jazz&Klassik/100MeisterwerkederKlassik/Rachmaninov_PianoConcertoNo2InCMinorOp18-1Moderato(Excerpt)mp3,0.04409479209500396, C, minor,0.07243505063848525,0.025774940780518223,0.04743492783800248
3,music/Modern&Soundtrack/Soundtrack/GameofThrones-Season6/22-INeedYoubyMySide(BonusTrack)mp3,0.04974449986094446, C, minor,0.06847203874944958,0.03988257139879506,0.05269970333639637
4,music/Modern&Soundtrack/Soundtrack/Leinwandträume/EnnioMorriconeSiebenLeben(TheCrisis)mp3,0.04199781579690683, D, major,0.07904007045354469,0.040531730289992386,0.053856538846814635
5,music/Jazz&Klassik/100MeisterwerkederKlassik/Albéniz_SuiteespañolaOp47-Asturias(Leyenda)(Excerpt)mp3,0.03347536424084538, E, minor,0.0772787318361955,0.05166268443819525,0.054138926838412045
6,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieZweiTürme/04_HowardShore_ThePassageOfTheMarshesmp3,0.028918556907251966, F, minor,0.0841039189784236,0.04940616704922951,0.054142880978301694
7,music/Jazz&Klassik/ContentClassicalOrgan/09Duo&ChoralePsalm47mp3,0.04495640686286686, D, major,0.07926023778071334,0.038843073761601746,0.05435323946839399
8,music/Modern&Soundtrack/Soundtrack/GameofThrones-Season6/11-Maestermp3,0.043042741903762234, A, minor,0.06869220607661823,0.05557293712529601,0.05576929503522549
9,music/Modern&Soundtrack/Soundtrack/DarksoulsIII-Soundtrack/04-FirelinkShrine-YukaKitamuramp3,0.03353660048180883, F, minor,0.07926023778071334,0.05640660508209881,0.056401147781540324
10,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieZweiTürme/02_HowardShore_TheTamingOfSméagolmp3,0.026488601728531833, D, minor,0.08102157639806253,0.06181630128005487,0.05644215980221642
11,music/Metal&Rock/Compilations/NaturmachtProductions-NaturmachtCompilationVolI/InDornen-NaturmachtCompilationVolI-07Isolation1mp3,0.038012182958478566, E, minor,0.08366358432408631,0.04834788876899477,0.05667455201718655
12,music/Jazz&Klassik/LudovicoEinaudi-Elements/06-LudovicoEinaudi-whirlingwindsmp3,0.023581884703620628, D, minor,0.09621312197269925,0.051718455617545414,0.0571711540979551
13,music/Jazz&Klassik/PianoPerlen/02_Various_BrahmsBalladeG-Mollmp3,0.035381868053853, G, minor,0.08894760017613386,0.047878938032782745,0.057402802087589876
14,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieGefährten/15_Various_HowardShoreTheGreatRivermp3,0.03658991922128371, E, minor,0.0841039189784236,0.05432482368322238,0.058339553960976565
15,music/Modern&Soundtrack/Soundtrack/Leinwandträume/DerPate(Liebesthema)mp3,0.03598014701342899, D#, major,0.08058124174372523,0.059656021499922184,0.058739136752358805
16,music/Modern&Soundtrack/Soundtrack/Leinwandträume/DieLegendedesZorro(ToTheGovernorsAndThenElena)mp3,0.0267263834873047, F, minor,0.0900484368119771,0.06002106872749136,0.05893196300892439
17,music/Jazz&Klassik/LudovicoEinaudi-Divenire/08-LudovicoEinaudi-Loriginenascostamp3,0.037627325918838876, G, major,0.08102157639806253,0.05997230343399419,0.05954040191696519
18,music/Modern&Soundtrack/Soundtrack/HansZimmer-Interstellar/04-DayOnemp3,0.02748584588561313, A, minor,0.08102157639806253,0.0701475167981126,0.05955164636059609
19,music/Jazz&Klassik/PianoNocturnes/04_VariousArtists_ChopinNocturneinCMinorOp48No1mp3,0.031666662164355146, C, minor,0.10479964773227653,0.04221226918770935,0.059559526361447006
20,music/Modern&Soundtrack/Soundtrack/Leinwandträume/CasinoRoyale(Vesper)mp3,0.02684734673401334, F, major,0.08674592690444738,0.06610976780838838,0.059901013815616376
21,music/Jazz&Klassik/LangLang-Liszt/11_LangLang_PianoConcertoNo1inEflatmajorS124(LWH4)1Allegromaestosomp3,0.03606156335585785, G#, minor,0.11756935270805813,0.026127258394641778,0.05991939148618592
22,music/Jazz&Klassik/PianoPerlen/01_Various_ArturRubinsteinLisztLiebestraum-WalzerNr3As-Durmp3,0.04501765339874994, G#, major,0.09797446059004844,0.03806404630450179,0.06035205343110006
23,music/Jazz&Klassik/TheNewSoundOfClassic/06Tsimtsummp3,0.061046876211712044, F#, minor,0.07287538529282254,0.04727858500971108,0.06040028217141522
24,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieRückkehrDesKönigs/02_Various_HowardShoreHopeAndMemorymp3,0.03817010702565507, D, minor,0.07617789520035227,0.06702144725090554,0.06045648315897096
25,music/Metal&Rock/Compilations/RelapseSampler-RelapseSampler2015/SteveMoore-RelapseSampler2015-35Intro&Creditsmp3,0.07709613293828076, A, minor,0.07573756054601496,0.028984047657422202,0.06060591371390597
26,music/Modern&Soundtrack/Soundtrack/DreamfallChapters-Soundtrack/SimonPoole-DreamfallChaptersReborn-OriginalSoundtrack-03Prologuemp3,0.025420244384590788, D#, minor,0.0781594011448701,0.07884836718173434,0.060809337570398414
27,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieRückkehrDesKönigs/01_Various_HowardShoreAStormIsComingmp3,0.045577659965096766, D, minor,0.07683839718185821,0.06033004722843477,0.06091536812512991
28,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieRückkehrDesKönigs/10_Various_HowardShoreAndúrilmp3,0.05767307456506518, E, minor,0.07683839718185821,0.048602059061770904,0.0610378436028981
29,music/Jazz&Klassik/LangLang-Liszt/05_LangLang_LiebesträumenotturnoforpianoNo3inAflatmajor(OLiebsolangduliebenkannst)S5413(LWA1033)mp3,0.0189834673638529, G#, major,0.09533245266402465,0.06987921571472024,0.06139837858086592
30,music/Soundtracks&More/Beoulve-Firefliesmp3,0.04646344720425891, A#, major,0.08190224570673713,0.05653108804231291,0.061632260317769645
31,music/Jazz&Klassik/100MeisterwerkederKlassik/Verdi_Nabucco_Act3-Coro_Introduzione-_Vapensierosull'alidorate_mp3,0.02714255355450137, F#, major,0.1023778071334214,0.055391168199601375,0.06163717629584139
32,music/Jazz&Klassik/100MeisterwerkederKlassik/Chopin_12EtudesOp10-No3InE_Tristesse_mp3,0.021492499879261183, E, major,0.09092910612065169,0.07272926958917096,0.06171695852969461
33,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieZweiTürme/09_HowardShore_TheWhiteRidermp3,0.04968669594618679, E, minor,0.07639806252752092,0.0594661863380833,0.06185031493726367
34,music/Modern&Soundtrack/Soundtrack/Leinwandträume/DerPateII(TheImmigrant)mp3,0.037232804008647334, F#, minor,0.07617789520035227,0.0751861336737303,0.06286561096090997
35,music/Jazz&Klassik/100MeisterwerkederKlassik/Grieg_PeerGyntOp23-PreludeToAct4(MorningMood)(Excerpt)mp3,0.04211219647200187, C#, minor,0.07926023778071334,0.06778308712720897,0.06305184045997474
36,music/Jazz&Klassik/PianoNocturnes/02_VariousArtists_LisztRêvedamourNo3mp3,0.023614671963669114, G#, major,0.11404667547335975,0.051625756116316875,0.06309570118444859
37,music/Modern&Soundtrack/Soundtrack/Leinwandträume/DieSchöneunddasBiest(Filmthema)mp3,0.03976962457113012, A, major,0.08102157639806253,0.06977819570967557,0.0635231322262894
38,music/Modern&Soundtrack/Soundtrack/Leinwandträume/BettyundihreSchwestern(OrchardHouse)mp3,0.04809718918056327, G, major,0.09026860413914575,0.05286229226439406,0.06374269519470104
39,music/Jazz&Klassik/ContentClassicalOrgan/16Passacagliamp3,0.020147863954070096, B, minor,0.1083223249669749,0.06279614068848847,0.06375544320317783
40,music/Modern&Soundtrack/Soundtrack/HansZimmer-Interstellar/17-FirstStepmp3,0.04123178318088836, A, minor,0.08080140907089388,0.07046324691723711,0.06416547972300646
41,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieGefährten/01_Various_HowardShoreTheProphecymp3,0.03168551422118785, D, minor,0.08058124174372523,0.08047808770975244,0.06424828122488851
42,music/Jazz&Klassik/PianoNocturnes/13_VariousArtists_JanácekLachévechenesestpasenvoléemp3,0.03621633305965868, C#, minor,0.08806693086745927,0.06864780819968447,0.0643103573756008
43,music/Modern&Soundtrack/Soundtrack/HansZimmer-Interstellar/10-APlaceAmongtheStarsmp3,0.031152770661014222, E, minor,0.07837956847203875,0.08390711448303466,0.06447981787202921
44,music/Modern&Soundtrack/Soundtrack/GameofThrones-Season6/18-HearMeRoarmp3,0.05929443381203447, C, minor,0.0726552179656539,0.06184924246844008,0.06459963141537615
45,music/Jazz&Klassik/100MeisterwerkederKlassik/Gershwin_RhapsodyInBlue-RhapsodyInBlue(Excerpt)mp3,0.053670595120148795, E, major,0.07926023778071334,0.06110906927558426,0.0646799673921488
46,music/Jazz&Klassik/PianoCollection/CD4-Brahms/03PianoSonataN°2inFsharpminorOp2-IIIScherzoallegrowav,0.078387659432067, D, major,0.08762659621312198,0.02842531067830738,0.06481318877449879
47,music/Jazz&Klassik/PianoNocturnes/14_VariousArtists_BarberSonateOp26~mvtIIImp3,0.02820882308874076, E, minor,0.10061646851607221,0.06617225273626638,0.06499918144702645
48,music/Klassik/Mozart_RequiemInDMinorK626-3Sequentia_Lacrimosamp3,0.04753686141272389, D, minor,0.07287538529282254,0.07459488018734182,0.06500237563096274
49,music/Jazz&Klassik/100MeisterwerkederKlassik/Mozart_RequiemInDMinorK626-3Sequentia_Lacrimosamp3,0.04753686141272389, D, minor,0.07287538529282254,0.07459488018734182,0.06500237563096274
50,music/Modern&Soundtrack/Soundtrack/HerrDerRinge-DieGefährten/03_Various_HowardShoreTheShadowOfThePastmp3,0.04159490146823014, D, minor,0.08278291501541171,0.07070116571881449,0.06502632740081878
51,music/Modern&Soundtrack/Soundtrack/Hobbit-BattleOfTheFiveArmies/07_HowardShore_Mithrilmp3,0.04362897580736713, A, minor,0.0772787318361955,0.07461713131360695,0.06517494631905653
52,music/Modern&Soundtrack/Soundtrack/Leinwandträume/CasinoRoyale(CityofLovers)mp3,0.02545719696912295, C, major,0.0845442536327609,0.08559913059066446,0.06520019373084944
53,music/Classical/Coral_de_S_Domingos-Acordaimp3,0.0629701895694971, D, minor,0.07573756054601496,0.05761900203119836,0.06544225071557014
54,music/Jazz&Klassik/PianoCollection/CD4-Brahms/02PianoSonataN°2inFsharpminorOp2-IIAndanteconespressionewav,0.03840240159226333, B, minor,0.12483487450462351,0.033212803063261104,0.06548335972004932
55,music/Modern&Soundtrack/Soundtrack/MassEffect3/22-AnEndOnceandforAllmp3,0.06370548567345806, E, minor,0.07375605460149713,0.06033944972234403,0.06593366333243307
56,music/Songs/BackingTrack/STEMS/SoloGuitarsmp3,0.059116574662479826, A, minor,0.07441655658300309,0.06507953471136746,0.06620422198561679
57,music/Modern&Soundtrack/Soundtrack/Hobbit-AnUnexpectedJourney/13_HowardShore_DreamingofBagEndmp3,0.06630347453043471, D, major,0.07485689123734038,0.05758546033831147,0.06624860870202885
58,music/Modern&Soundtrack/Soundtrack/Leinwandträume/BigFish(SandrasTheme)mp3,0.03828117273662815, F#, minor,0.07485689123734038,0.08577956325859408,0.06630587574418755
59,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/03_HowardShore_ANecromancermp3,0.07212638814225557, D, minor,0.0781594011448701,0.048731903282896435,0.06633923085667404
60,music/Modern&Soundtrack/Soundtrack/Hobbit-DesolationOfSmaug/13_HowardShore_TheNatureofEvilmp3,0.07061417975120754, D, minor,0.07397622192866579,0.05446754899640658,0.06635265022542663
61,music/Modern&Soundtrack/Soundtrack/TheWitcher3-Soundtrack/TheWitcher3OST/09KingBran'sFinalVoyagemp3,0.08556614217372961, D, minor,0.07617789520035227,0.038440108191218986,0.06672804852176696
