,id,scaled_rp,key,scale,scaled_levenshtein,scaled_js,bpm,scaled_bh,scaled_rh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Songs/Metal/Folk/Korpiklaani-Rautamp3,0.0, E, major,0.0,0.0, 139.950332642,0.0,0.0,0.0,0.038072335458692375,0.0,0.004759041932336547
1,music/Metal&Rock/AlternativeMetal/LinkinPark-MinutesToMidnight/04-BleedItOut[Explicit]mp3,0.256993869970851, F#, minor,0.07060646303674192,0.028923018783014176, 139.991973877,0.028149782312287267,0.1517538894575628,0.024501319210521982,0.5343709541280434,1.9432724608675173e-12,0.13691241211262073
2,music/Metal&Rock/AlternativeMetal/ScarsOnBroadway-Dictator/02-AngryGurump3,0.25983511589925457, G, minor,0.07547587428065515,0.03818533453953212, 139.95640564,0.018768484985396714,0.22783630650047398,0.008823524518599824,0.4941793909418103,7.908127905757175e-13,0.14038800395831416
3,music/Metal&Rock/AlternativeMetal/AvengedSevenfold-Nightmare/04BuriedAlivemp3,0.23437802832380653, A, minor,0.1463036741921204,0.04110620741661761, 140.023925781,0.0374316662333277,0.18065716229901782,0.10640262066012711,0.39276120278329707,1.447135442283775e-12,0.14238007023872015
4,music/Metal&Rock/AlternativeMetal/FiveFingerDeathPunch-GotYourSix/FiveFingerDeathPunch-Ain'tMyLastDancemp3,0.2678316922934346, F#, minor,0.07149181053563523,0.040864515889811125, 139.975830078,0.05216390655791042,0.242465864020351,0.04021286913776012,0.4754247154057164,1.4453634637273969e-12,0.14880692173025806
5,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-December/PigSquealsAndBreakdowns-December-11UnderParis-ILiedmp3,0.2970549725113562, A, major,0.06839309428950863,0.044261804775714356, 139.971328735,0.05514388748152389,0.1692043578298367,0.0722939058775175,0.4941794767019607,1.9323532175414172e-12,0.15006643743366882
6,music/Metal&Rock/AlternativeMetal/Pain-CynicParadise/Pain-HereIsTheNews(electriclightorchestracover)mp3,0.30839333106590044, F, major,0.0934041611332448,0.03784994499107025, 139.935211182,0.09104238623431278,0.20474058365374675,0.014259160726747842,0.4550249121386969,1.7205742054889434e-12,0.15058930999318004
7,music/Metal&Rock/Atmospheric&Nichtmetallisches/IvarBjørnson&EinarSelvik-Hugsjá/07-NyttLandmp3,0.33042842583261334, D, minor,0.16312527667109342,0.04212205679524726, 140.027130127,0.019793155529381566,0.24659299230515536,0.034408127127108536,0.4145794023431988,1.6947793641910827e-12,0.15638117957568662
8,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-September/PigSquealsAndBreakdowns-September-09Rootless-FOADmp3,0.22357076942143006, C#, minor,0.07746790615316512,0.043160004790731635, 139.977905273,0.0755024127271892,0.18150712902058289,0.020555796292510118,0.6296889834704238,2.6110892835786367e-12,0.1564316252348305
9,music/Metal&Rock/AlternativeMetal/Pain-CynicParadiselive/Pain-OnAndOnmp3,0.25202617251041776, E, minor,0.11266046923417442,0.050780665779883764, 140.014694214,0.04119304552521867,0.2024705027932382,0.04159353698131938,0.5596955830503884,2.289511378878704e-12,0.1575524969846163
10,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-July/PigSquealsAndBreakdowns-July-11HollowWorld-BladeofWintermp3,0.30813684133525154, E, minor,0.09008410801239486,0.039892108196974765, 140.10043335,0.027445807765150168,0.23808877505047465,0.0480102932483777,0.5284090732936664,1.5312566954240813e-12,0.1600083758629777
11,music/Jazz&Klassik/DavidGarret-RockSymphonies/06-DavidGarrett-VivaldiVsVertigomp3,0.21531711674707005, A, minor,0.0635236830455954,0.047888085383106405, 139.802658081,0.0254697879859494,0.15519141965622044,0.19604420317736937,0.5816507823463284,1.6619448138328816e-12,0.1606356347929127
12,music/Metal&Rock/Compilations/PigSquealsAndBreakdowns/PigSquealsAndBreakdowns-Fall/PigSquealsAndBreakdowns-Fall-21TheWorldToCome-Anomaliesmp3,0.26056373610600325, G, minor,0.09274015050907482,0.043955316970535445, 139.874298096,0.04596540108007962,0.18074451980993078,0.1230963692159247,0.6020404385269131,1.9311297246120324e-12,0.16863824152754908
13,music/Metal&Rock/AlternativeMetal/FiveFingerDeathPunch-TheWrongSideOfHeaven/06_FiveFingerDeathPunch_IMSinmp3,0.2689657020189286, E, minor,0.09074811863656485,0.0401401157416339, 140.007598877,0.09421568843354357,0.21757570941099633,0.03800435326689206,0.6023432915283685,1.2718731137392546e-12,0.16899912237977496
