,original vs detected,count
0,"(Rock&Pop, World)",1
1,"(Hip-Hop, Rock&Pop)",1
2,"(Blues, Blues)",5
3,"(Country, Alternative&Punk)",4
4,"(Soundtracks&More, NewAge)",3
5,"(Comedy&SpokenWord, Electronic&Dance)",1
6,"(Comedy&SpokenWord, Classical)",2
7,"(Comedy&SpokenWord, EasyListening&Vocals)",1
8,"(Hip-Hop, Childrens's)",1
9,"(Alternative&Punk, Electronic&Dance)",1
10,"(Religious, Blues)",1
11,"(Hip-Hop, Country)",2
12,"(World, Country)",11
13,"(Latin, EasyListening&Vocals)",2
14,"(Rock&Pop, Folk)",2
15,"(Folk, R&B&Soul)",2
16,"(Blues, Jazz)",1
17,"(World, Childrens's)",1
18,"(Alternative&Punk, Reggae)",2
19,"(Hip-Hop, Comedy&SpokenWord)",3
20,"(EasyListening&Vocals, Reggae)",2
21,"(Childrens's, Religious)",1
22,"(Reggae, Soundtracks&More)",1
23,"(Rock&Pop, Hip-Hop)",1
24,"(Childrens's, Rock&Pop)",2
25,"(R&B&Soul, R&B&Soul)",4
26,"(Rock&Pop, Religious)",2
27,"(Latin, Country)",13
28,"(EasyListening&Vocals, R&B&Soul)",2
29,"(NewAge, Classical)",2
30,"(Rock&Pop, R&B&Soul)",2
31,"(Hip-Hop, Electronic&Dance)",3
32,"(Blues, Comedy&SpokenWord)",1
33,"(Blues, Latin)",2
34,"(R&B&Soul, Religious)",2
35,"(NewAge, EasyListening&Vocals)",3
36,"(Alternative&Punk, Folk)",5
37,"(Soundtracks&More, Latin)",5
38,"(World, Classical)",1
39,"(Country, Religious)",2
40,"(World, Folk)",7
41,"(Jazz, Jazz)",7
42,"(Blues, NewAge)",3
43,"(Alternative&Punk, Hip-Hop)",2
44,"(R&B&Soul, Blues)",2
45,"(Comedy&SpokenWord, World)",2
46,"(EasyListening&Vocals, Jazz)",2
47,"(Childrens's, World)",1
48,"(Rock&Pop, Jazz)",2
49,"(Alternative&Punk, Alternative&Punk)",2
50,"(Electronic&Dance, Religious)",3
51,"(Jazz, Comedy&SpokenWord)",1
52,"(Country, Latin)",5
53,"(Latin, Alternative&Punk)",1
54,"(Classical, Country)",1
55,"(R&B&Soul, NewAge)",2
56,"(Latin, Folk)",6
57,"(Alternative&Punk, Childrens's)",4
58,"(Blues, R&B&Soul)",4
59,"(Latin, R&B&Soul)",4
60,"(EasyListening&Vocals, Electronic&Dance)",2
61,"(Religious, R&B&Soul)",3
62,"(World, NewAge)",6
63,"(Alternative&Punk, R&B&Soul)",4
64,"(Soundtracks&More, Comedy&SpokenWord)",3
65,"(R&B&Soul, Soundtracks&More)",3
66,"(Jazz, Rock&Pop)",2
67,"(Comedy&SpokenWord, Hip-Hop)",1
68,"(Classical, Comedy&SpokenWord)",5
69,"(Jazz, Folk)",3
70,"(Latin, Childrens's)",4
71,"(Hip-Hop, Soundtracks&More)",1
72,"(EasyListening&Vocals, Religious)",5
73,"(Comedy&SpokenWord, Childrens's)",5
74,"(Comedy&SpokenWord, Folk)",4
75,"(Classical, Blues)",5
76,"(NewAge, Soundtracks&More)",5
77,"(Folk, Rock&Pop)",1
78,"(Soundtracks&More, Country)",5
79,"(NewAge, Alternative&Punk)",4
80,"(Comedy&SpokenWord, Reggae)",6
81,"(Soundtracks&More, R&B&Soul)",3
82,"(Blues, Rock&Pop)",1
83,"(Electronic&Dance, Blues)",1
84,"(Blues, EasyListening&Vocals)",1
85,"(NewAge, Comedy&SpokenWord)",6
86,"(Folk, Alternative&Punk)",1
87,"(Classical, EasyListening&Vocals)",3
88,"(NewAge, Childrens's)",3
89,"(Alternative&Punk, Comedy&SpokenWord)",7
90,"(Religious, Jazz)",1
91,"(Childrens's, Comedy&SpokenWord)",1
92,"(R&B&Soul, Hip-Hop)",8
93,"(Reggae, Religious)",1
94,"(Reggae, R&B&Soul)",13
95,"(Soundtracks&More, Blues)",1
96,"(World, Blues)",3
97,"(Jazz, Alternative&Punk)",3
98,"(Folk, Jazz)",2
99,"(Religious, Religious)",5
100,"(World, EasyListening&Vocals)",4
101,"(Reggae, Blues)",3
102,"(Jazz, R&B&Soul)",4
103,"(Alternative&Punk, World)",1
104,"(Rock&Pop, Soundtracks&More)",3
105,"(Religious, Soundtracks&More)",1
106,"(Country, Folk)",3
107,"(Alternative&Punk, Blues)",4
108,"(Electronic&Dance, Hip-Hop)",8
109,"(Classical, NewAge)",6
110,"(Alternative&Punk, Religious)",4
111,"(Electronic&Dance, Reggae)",2
112,"(Childrens's, Hip-Hop)",2
113,"(R&B&Soul, Reggae)",7
114,"(R&B&Soul, Alternative&Punk)",1
115,"(Hip-Hop, Jazz)",3
116,"(Comedy&SpokenWord, Blues)",2
117,"(R&B&Soul, Comedy&SpokenWord)",3
118,"(Alternative&Punk, NewAge)",1
119,"(Rock&Pop, Country)",9
120,"(NewAge, Hip-Hop)",2
121,"(Reggae, Jazz)",2
122,"(NewAge, Country)",12
123,"(R&B&Soul, EasyListening&Vocals)",1
124,"(R&B&Soul, Latin)",1
125,"(Soundtracks&More, Alternative&Punk)",4
126,"(Alternative&Punk, Latin)",1
127,"(Reggae, Electronic&Dance)",1
128,"(Blues, Childrens's)",4
129,"(Childrens's, Jazz)",1
130,"(Jazz, Childrens's)",4
131,"(NewAge, Jazz)",3
132,"(Electronic&Dance, Rock&Pop)",1
133,"(Jazz, EasyListening&Vocals)",2
134,"(Folk, Childrens's)",1
135,"(Blues, Hip-Hop)",1
136,"(R&B&Soul, Country)",10
137,"(EasyListening&Vocals, Folk)",2
138,"(Latin, Rock&Pop)",5
139,"(Classical, Religious)",2
140,"(Classical, World)",2
141,"(Childrens's, Country)",5
142,"(NewAge, NewAge)",6
143,"(Childrens's, NewAge)",1
144,"(NewAge, R&B&Soul)",2
145,"(Soundtracks&More, Hip-Hop)",1
146,"(Childrens's, Latin)",1
147,"(NewAge, World)",5
148,"(EasyListening&Vocals, Soundtracks&More)",5
149,"(World, Rock&Pop)",3
150,"(Alternative&Punk, Rock&Pop)",5
151,"(Comedy&SpokenWord, Country)",2
152,"(NewAge, Folk)",3
153,"(EasyListening&Vocals, Comedy&SpokenWord)",4
154,"(Folk, Soundtracks&More)",3
155,"(Country, Electronic&Dance)",1
156,"(EasyListening&Vocals, Classical)",1
157,"(Rock&Pop, Rock&Pop)",7
158,"(Country, Reggae)",2
159,"(Childrens's, Childrens's)",5
160,"(EasyListening&Vocals, Rock&Pop)",1
161,"(Comedy&SpokenWord, Latin)",3
162,"(Childrens's, EasyListening&Vocals)",5
163,"(EasyListening&Vocals, Country)",8
164,"(Country, Rock&Pop)",2
165,"(Electronic&Dance, Comedy&SpokenWord)",2
166,"(Folk, Hip-Hop)",5
167,"(Jazz, NewAge)",1
168,"(Electronic&Dance, Latin)",3
169,"(Reggae, Country)",8
170,"(Childrens's, Reggae)",3
171,"(Hip-Hop, Latin)",4
172,"(EasyListening&Vocals, Childrens's)",2
173,"(Religious, NewAge)",3
174,"(Religious, Comedy&SpokenWord)",2
175,"(Hip-Hop, World)",1
176,"(NewAge, Blues)",4
177,"(Jazz, Soundtracks&More)",1
178,"(Hip-Hop, Alternative&Punk)",4
179,"(Country, R&B&Soul)",1
180,"(Comedy&SpokenWord, R&B&Soul)",3
181,"(Rock&Pop, Alternative&Punk)",6
182,"(NewAge, Religious)",4
183,"(Latin, Comedy&SpokenWord)",1
184,"(Hip-Hop, Reggae)",6
185,"(Classical, Soundtracks&More)",2
186,"(Latin, Latin)",5
187,"(Blues, Religious)",3
188,"(Blues, Folk)",3
189,"(World, Latin)",3
190,"(Comedy&SpokenWord, Soundtracks&More)",1
191,"(EasyListening&Vocals, EasyListening&Vocals)",3
192,"(Childrens's, Folk)",6
193,"(Religious, Alternative&Punk)",5
194,"(Blues, Country)",16
195,"(Folk, Religious)",2
196,"(Soundtracks&More, Childrens's)",1
197,"(Religious, Rock&Pop)",2
198,"(Rock&Pop, Comedy&SpokenWord)",2
199,"(Classical, Classical)",12
200,"(Classical, Alternative&Punk)",1
201,"(Jazz, Blues)",5
202,"(Soundtracks&More, EasyListening&Vocals)",2
203,"(Religious, Country)",10
204,"(Soundtracks&More, Religious)",2
205,"(Hip-Hop, R&B&Soul)",10
206,"(Jazz, Religious)",4
207,"(World, Comedy&SpokenWord)",1
208,"(NewAge, Electronic&Dance)",1
209,"(Classical, Childrens's)",2
210,"(Soundtracks&More, Classical)",1
211,"(Comedy&SpokenWord, Jazz)",1
212,"(Comedy&SpokenWord, NewAge)",1
213,"(Jazz, Reggae)",1
214,"(R&B&Soul, Childrens's)",4
215,"(Country, Blues)",3
216,"(Hip-Hop, Religious)",4
217,"(Hip-Hop, Blues)",3
218,"(Childrens's, Alternative&Punk)",2
219,"(Religious, Classical)",2
220,"(Alternative&Punk, Soundtracks&More)",2
221,"(Soundtracks&More, Folk)",3
222,"(R&B&Soul, Jazz)",2
223,"(EasyListening&Vocals, NewAge)",3
224,"(Childrens's, Blues)",7
225,"(Childrens's, Soundtracks&More)",1
226,"(Electronic&Dance, R&B&Soul)",3
227,"(Blues, Reggae)",4
228,"(Classical, Jazz)",3
229,"(Electronic&Dance, Jazz)",2
230,"(Comedy&SpokenWord, Religious)",1
231,"(Country, Comedy&SpokenWord)",1
232,"(Folk, Country)",6
233,"(Folk, Comedy&SpokenWord)",6
234,"(Latin, Jazz)",3
235,"(NewAge, Rock&Pop)",2
236,"(Rock&Pop, Reggae)",1
237,"(Reggae, Hip-Hop)",5
238,"(Reggae, Childrens's)",9
239,"(Reggae, Reggae)",12
240,"(Blues, Electronic&Dance)",1
