,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Rock/Pvris-MyHousemp3,0.0, C, major,0.0, 129.15222168,0.0,0.0,0.18433425902986444,0.0,0.030722376504977406
1,music/Rock/twentyonepilots-CarRadiomp3,0.22968827386155638, F, major,0.17726480836236932, 129.759735107,0.21755700639288014,0.1130418717216185,0.7944337857096503,2.0389929750404274e-07,0.25533099165789536
2,music/Klassik/Bach-Toccaqta&FugueDMinorBWV565Toccatamp3,0.35459983437532777, D, minor,0.17770034843205576, 117.647331238,0.46408948427823626,0.19638423750153972,0.5522751186541657,3.4727210824532354e-07,0.29084156175223885
3,music/WorldMusic/AndreyVinogradov-MedievalTunemp3,0.333397729230474, G, minor,0.18641114982578397, 111.668838501,0.4603789865180332,0.3463696137202684,0.46518464378087554,1.826170385438279e-06,0.2986239915409701
4,music/Pop/DavidBowie-LifeOnMarsmp3,0.21378240593824344, A#, major,0.16332752613240417, 125.222671509,0.46187281779552786,0.09290480875935601,0.9471075997493912,1.1229850593407496e-07,0.31316587844557137
5,music/Electronic/MartinGarrix-Animals(OriginalMix)mp3,0.3392866920750515, F, minor,0.24128919860627177, 128.125137329,0.29456051806496936,0.08475445164106475,0.9402512277428934,5.437415388992861e-07,0.3166904386452983
6,music/WorldMusic/EstasTonne-TheSongoftheGoldenDragonmp3,0.3310763436047272, C, major,0.24869337979094078, 132.522079468,0.35188865690047516,0.11911491957713533,0.8630667979016029,7.931891157443881e-07,0.3189734818273328
7,music/Jazz/PaoloFresuJanLundgren-Kristallendenfinamp3,0.3306586092520313, D, minor,0.17421602787456447, 140.128921509,0.4981903033989871,0.2614521318481479,0.6657544250113108,6.765272605763268e-06,0.3217130437762746
8,music/Rock/Blink-182-Adam'sSongmp3,0.2770381866471503, F, major,0.16463414634146342, 136.178466797,0.6659478423539512,0.1536722292183943,0.7073796926028124,3.5147700469602794e-07,0.3281120747734627
9,music/Rock/TheOffspring-You'reGonnaGoFarKidmp3,0.4079362541230239, C, major,0.15810104529616725, 126.112625122,0.3541498352427896,0.28504916956073245,0.7933120082862702,4.0452871986566264e-07,0.3330914528396172
10,music/Klassik/JStraussI_Radetzky-MarschOp228mp3,0.3439789288269013, D, major,0.16594076655052264, 106.524047852,0.7286458726317866,0.15096051216436834,0.6190534210099616,8.648457963863289e-07,0.33476339433822283
11,music/WorldMusic/annaRF-Whymp3,0.245237006522563, G, minor,0.18771777003484322, 112.351074219,0.7157572767089403,0.17065019280614216,0.6963058735867877,3.392175200675522e-07,0.3359447431461327
12,music/Electronic/DaftPunk-Withinmp3,0.29709806507194275, C#, major,0.16071428571428573, 110.342224121,0.6715928267389134,0.12021651921823226,0.7873029340841975,5.112218993973553e-07,0.3394875236749119
13,music/Klassik/LangLang_LaCampanellaIIetudeforpianoinGsharpminor(GrandPaganiniÉtudeNo3)S1413(LWA1733)mp3,0.4040054932902078, G#, minor,0.22038327526132404, 163.483779907,0.41605820221182926,0.23395040005475562,0.7847760198450311,1.0899823975305343e-05,0.3431973817478538
