,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/R&B&Soul/D__Banks__Slick_Salt_Entertainment-Party_Tonightmp3,0.0, F#, minor,0.0, 97.9456100464,0.0,0.0,2.1608430187033622e-07,4.3216860374067244e-08
1,music/Childrens's/Linda_Book-Halloweenmp3,0.5458718078979252, A, major,0.14133333333333334, 97.9619445801,0.16172476302035255,0.07365263745988274,2.0995540918227e-06,0.1845169282531171
2,music/Rock&Pop/Victoria_Robertson-Cloudsmp3,0.5403393005814926, G, major,0.144, 96.9777908325,0.1816053368431998,0.11582902626001915,1.790372729656429e-06,0.19635509081148822
3,music/Reggae/superadonai-judgement_pon_babylonmp3,0.5339093207785758, F, minor,0.14266666666666666, 97.5577011108,0.23109505074876444,0.08805014877288041,1.3681497497451595e-06,0.1991445110233274
4,music/Hip-Hop/L__of__Khemistry-Das_riiiightmp3,0.40407794350005716, G#, minor,0.226, 97.998550415,0.28162808253915705,0.09907544468002866,1.682017790627998e-06,0.20215663054740668
5,music/Blues/Hitman_Blues_Band-On_The_Reboundmp3,0.5585223944539901, C, major,0.22266666666666668, 97.5078048706,0.1792112164000314,0.06166114021644799,1.1087382469034372e-06,0.20441250529507662
6,music/Alternative&Punk/The_Faint-Typing_1974-2048mp3,0.6079384328852666, B, minor,0.13266666666666665, 97.2319869995,0.21157555655999133,0.07249522358807038,2.1892571280669184e-06,0.2049356137914246
7,music/Religious/Kisha_Griffin-DontU4Get2Praymp3,0.41597696310598575, E, major,0.24866666666666667, 97.7661819458,0.3242947905857487,0.04596090110221542,1.939808623071302e-06,0.20698025225384792
8,music/EasyListening&Vocals/ayu-mi_yuemp3,0.5583575184081362, B, major,0.16266666666666665, 98.0427703857,0.22076430047767287,0.09483883033780717,2.475940932407153e-06,0.20732595836624307
9,music/Hip-Hop/Eldorado_Red-El_Dawgmp3,0.512984616311681, C, minor,0.162, 97.0035400391,0.22902061675186688,0.1327188919463547,1.7381165272014637e-06,0.20734517262528596
10,music/Hip-Hop/Kaysha-In_the_airmp3,0.4858100588894831, A, major,0.15533333333333332, 97.2994537354,0.21137152169899606,0.18480911272291087,1.2252066242021218e-06,0.20746505037026952
11,music/R&B&Soul/Ellis_Hooks-Uncomplicatedmp3,0.4537913725656489, E, major,0.192, 96.7701339722,0.2639945845349427,0.13932262384338182,1.0161151826801312e-06,0.2098219194118312
12,music/Hip-Hop/Sony-SONYmp3,0.5614660781717041, G, minor,0.18466666666666667, 97.0526733398,0.21859445392292298,0.10011738051310996,1.0458813309283429e-06,0.2129691250311469
