,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Blues/Ageing_hippie_groove_syndicate-ageing_hippie_groovemp3, C, minor, 89.9438781738,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/NewAge/Elu-Wont_Last_Longmp3, C, major, 89.9012069702,0.11564160103612997,0.06631530601151102,0.023792618120566923,0.26452064380685797,0.9394944194847387,0.05378935259061481,0.15480763384854304,0.08192663175310055,0.21253602583150785
2,music/Latin/Alfred_Gomez_Jr-La_Reina_Peinandosemp3, D, minor, 90.0469894409,0.214366734103665,0.17387250365784493,0.02124749956233028,0.21693491952414276,0.8665881200057637,0.03785327593421074,0.08532856225273887,0.12210367257748524,0.2172869109522727
3,music/Soundtracks&More/Joseph_Chakola-Cosmic_Mythmp3, F, major, 90.0135726929,0.21917023822495185,0.1032210900273208,0.07888245999577534,0.18824352694191743,0.9292870643597144,0.12553108214954825,0.028263131116037933,0.07781572217452189,0.2188017893737235
4,music/Latin/Alfred_Gomez_Jr-Rosamp3, G, minor, 89.9958648682,0.26852642368556756,0.2365923722739376,0.04240024855498278,0.17774667599720084,0.9182895858460555,0.031290704860155026,0.05166312919045752,0.09627682409732116,0.22784824556320973
5,music/EasyListening&Vocals/Janet_Murphy-Ive_Got_Somethingmp3, E, minor, 89.9921417236,0.18453604155926703,0.17449893335116315,0.042907473792599814,0.198740377886634,0.9552134598265355,0.06428184162215782,0.13863024804961693,0.12687954575092097,0.2357109902298619
6,music/NewAge/The_Wimshursts_Machine-Mystical_Seamp3, G, minor, 90.0008010864,0.13417793706834114,0.09528179312443018,0.034192343921623736,0.26871938418474456,0.9229336457344919,0.09136561625802195,0.2787461498983481,0.07219953544709076,0.23720205070463649
7,music/Country/Broken_Radio-End_Of_The_Roadmp3, A, minor, 89.9616622925,0.1836881165527268,0.11644830390883537,0.04698090224514212,0.23372988103568929,0.9373002822589434,0.07095689352711158,0.190669957970354,0.1275698863014547,0.23841802797503214
8,music/EasyListening&Vocals/BARBARA_HASCAKOVA-Only_We_Are_Heremp3, C#, major, 89.8469924927,0.14553166281826163,0.12330738961228221,0.09731345673009754,0.22603219034289712,0.938350313730859,0.04920092335977574,0.2158646827918412,0.12288394626354072,0.23981057070619438
9,music/Soundtracks&More/Altham__McKerron-Servos_Revengemp3, A, minor, 90.0223846436,0.21990436186714146,0.23407550069488864,0.032967973612935506,0.1868439468159552,0.9561029844570721,0.033316296229560824,0.08729101485293696,0.1740866497330886,0.24057359103294743
10,music/Latin/Alfred_Gomez_Jr-Abuelamp3, D, major, 90.0431518555,0.24012482465630652,0.1959974397563985,0.13286079314744081,0.1735479356193142,0.927261404322767,0.062308215211148966,0.09520866381224659,0.10615684604397634,0.24168326532119988
11,music/NewAge/The_Wimshursts_Machine-Dance_of_the_Earthmp3, F, major, 90.0282211304,0.13084853232839422,0.09227298642838472,0.15280413701683712,0.244926522043387,0.9429819938558881,0.033959125829453235,0.22384671097993877,0.11679207920307728,0.24230401096067
12,music/Reggae/Third_Eye_Reggae_Band-Jah_Dubmp3, C#, minor, 90.5566711426,0.22153015827653877,0.10903580496766348,0.22840386575757976,0.158852344296711,0.9449858043859498,0.18223828072132203,0.03149612229600721,0.09728146326688723,0.2467279804960824
13,music/World/Sleepwalker_Project-Comes_From_The_Heart__Comes_From_The_Mindmp3, A, major, 90.8253555298,0.15554842269021546,0.07570345565143236,0.34037778700652804,0.22113365990202938,0.9735487828626181,0.059532484739039965,0.0773800753993581,0.11321853212070912,0.2520554000464913
14,music/Jazz/John_Devitt-Lets_Face_itmp3, D, major, 90.0202331543,0.20397152274307875,0.24124353288722844,0.05371135588513486,0.1980405878236529,0.9143961234890112,0.08497861219311675,0.26091751724273016,0.09120006147076135,0.2560574142168393
15,music/Latin/Jose_Luis-Tu_me_acostumbrastemp3, A#, major, 91.0882034302,0.1420985596826585,0.08536549617098017,0.3915416045855866,0.1959412176347096,0.9491072938616137,0.05878104190574394,0.08318000365893062,0.15721571764598014,0.2579038668932754
16,music/EasyListening&Vocals/Sonical_Morphina-The_Harlem-Ibiza_Conectionmp3, G, major, 89.9829711914,0.24909736646486907,0.21051932916176172,0.08075157235309324,0.19244226731980407,0.9621081019825346,0.07329723834228191,0.22355908380981104,0.10807526527261192,0.2624812780883459
17,music/Religious/Jacob_Swann-Revelation_of_realitymp3, F#, minor, 89.3438110352,0.2692224419797945,0.24313133114492336,0.2590327655766224,0.172148355493352,0.9242936314258672,0.08784686664190958,0.022887413487662975,0.1298666187209637,0.26355367805888696
18,music/R&B&Soul/Jennifer_Johns-Ghetto_Storiesmp3, A, major, 90.0262756348,0.3705839828525553,0.3056399435893838,0.18716890020493954,0.21483554933519944,0.9616639335921849,0.032786329372820666,0.0009485377676043365,0.07323855798930509,0.2683582168379991
19,music/Childrens's/Kids_For_Kids-I_Love_Everything_God_Has_Mademp3, A, major, 90.4900970459,0.2120567760916029,0.18282035842529212,0.25396476235973736,0.15325402379286215,0.9352268198194125,0.0916970699729138,0.236204064916583,0.08662203245986055,0.2689807384797831
20,music/R&B&Soul/KWESI-Free_Either_Waymp3, F, major, 89.9838104248,0.3713473860417537,0.32274069214367723,0.019627981116710883,0.21903428971308608,0.9546255539392129,0.0783642636280543,0.10808828313430491,0.08540694363824443,0.26990442416938054
21,music/Comedy&SpokenWord/Tales_2_Tell-Celtic_Ghostmp3, C, minor, 90.4448699951,0.13974851385330506,0.12662420651229128,0.42284241455489974,0.23792862141357593,0.9392870276385289,0.0587515667809816,0.19473613930423264,0.04644371623598231,0.2707952757867247
22,music/Soundtracks&More/Ryan_Silva-Song_4mp3, F, major, 89.9342346191,0.2607237865896167,0.20174096950431863,0.023753352858167633,0.18824352694191743,0.9276387410674727,0.12048606805398399,0.35267770531156256,0.10357638965082847,0.2723550674972335
23,music/Country/Garry_Schultz-Jazzbomp3, E, major, 89.9523086548,0.302115134651223,0.23826325534373607,0.043965934319539,0.2330300909727082,0.9847281720770918,0.18692694642105565,0.12190903377756333,0.0832749124656638,0.2742766850035726
24,music/Childrens's/The_Story_Of_Iloyd-Ant_Nestmp3, C, major, 91.0245285034,0.15130241181881116,0.12120742643581772,0.5015644482679442,0.19384184744576627,0.9251873545653797,0.04713021462018617,0.14533587175668572,0.10926781621276654,0.27435467389041973
25,music/R&B&Soul/Lizz_Fields-I_Gotta_Gomp3, C#, major, 89.9973297119,0.2533081885056886,0.17002952216533404,0.04784255977133891,0.2491252624212736,0.947143955431029,0.11511559195893774,0.22188654381250136,0.19314917240200424,0.27470009955851343
26,music/Religious/Randy_Vild-Jamesmp3, E, major, 90.0314254761,0.2210365615380973,0.2626976759094879,0.20001819372570023,0.20083974807557733,0.7958870123643302,0.052212698716259304,0.2912922192273874,0.17605623344688698,0.2750050428754658
27,music/Alternative&Punk/From_First_To_Last-The_Levymp3, C, minor, 89.9048614502,0.16550546067364155,0.18541005369538993,0.10877948790268771,0.17634709587123862,0.9573059491891853,0.14550582776767956,0.06255790826430326,0.40472577093881,0.275767194287867
28,music/Electronic&Dance/Temple_City-What_you_mean_to_memp3, F, minor, 94.9420776367,0.16819157317862346,0.13385702136040437,0.7351819882721689,0.1224632610216935,0.9067902656971777,0.05377180047389971,0.015166744851873812,0.07111429277665442,0.275817118454062
29,music/Jazz/Pamela_Hart-May_I_Come_Inmp3, G, minor, 96.7146377563,0.12462016650149901,0.12376645837447939,0.5702262659009475,0.3107067879636109,0.9041402582134144,0.05156966706301831,0.04641449210640345,0.0957087297146837,0.2783941032297571
30,music/Folk/Janis_Ian-The_Great_Dividemp3, D#, major, 88.4179458618,0.17133395862449263,0.21043858835550144,0.4462967383529092,0.22533240027991602,0.9458773874899408,0.07538163552800359,0.054100748825410716,0.09946415225907844,0.2785282012144066
31,music/Childrens's/Ninos_De_La_Paz-Dios_Es_Amormp3, D, minor, 88.7419433594,0.16203085911757087,0.15600730599653045,0.43010967654667126,0.2330300909727082,0.9464585444764706,0.049882423163421195,0.1458326549904807,0.1109632327135148,0.279289348497171
32,music/EasyListening&Vocals/smooth_gardener-chill_in_the_parkmp3, C, major, 89.9974060059,0.26644080876513737,0.1827541024976447,0.13246018518808483,0.21833449965010496,0.918511398430776,0.10282542098142237,0.2975518125507246,0.12359184539614328,0.28030875918250475
33,music/Reggae/Buju_Banton-Paid_Not_Playedmp3, D, minor, 88.5204315186,0.30800491759141874,0.2442170636716711,0.4904263726388186,0.10986703988803359,0.9124249315694763,0.06209159393709931,0.05062086002286637,0.06526790080844254,0.28036508501597834
34,music/Soundtracks&More/Naked_Skin-Tell_me_what_you_whantmp3, G#, minor, 89.7878952026,0.24422906990850218,0.14704827088551514,0.16809512500079554,0.34079776067179846,0.978208479774147,0.07095715867493167,0.15598198354206858,0.14892638967179395,0.28178052976619405
35,music/NewAge/Noah_Brion_Richards-Meanmamp3, F, major, 91.0040512085,0.13737048470688848,0.11594656533787273,0.42041659287987887,0.12806158152554234,0.9395752530507007,0.07473789920907027,0.3522096604225732,0.09094571536353917,0.2824079690620082
36,music/R&B&Soul/BONNY_FERRER-Get_down-Saturdaymp3, C, minor, 88.9429244995,0.265075497388211,0.21334235214381161,0.4741496049557244,0.15815255423372987,0.8831441948633801,0.07012278084724921,0.03877472430683053,0.1569695131300456,0.28246640273362283
37,music/R&B&Soul/The_Grand_Central_Band-Crazy_Bout_Yoump3, C, major, 89.3988571167,0.2703484845585083,0.26163645201765545,0.2689501897006541,0.23163051084674596,0.9393523056180556,0.09866511462256748,0.036753736237818045,0.15325965554290016,0.2825745561431131
38,music/Jazz/Victor_and_Pablo_Escalona-A_Night_to_Remembermp3, C#, minor, 90.0481414795,0.36424133910618234,0.377012806064659,0.08245164014770355,0.1609517144856543,0.9069479405695967,0.08373368324904248,0.20060809476452798,0.08694794944414247,0.28286189597893857
39,music/Blues/Greg_Burgess-Itsy_Bitsy_Spider_Bluesmp3, G, major, 163.956222534,0.12491006451641436,0.11733646654659455,0.5679338665647307,0.21903428971308608,0.939567798051464,0.024935917658507195,0.18266215400719776,0.09242048775190188,0.28360013060123707
40,music/Folk/Colie_Brice-Pensive_Reflection_in_Gmp3, C, major, 143.996520996,0.15044576585344505,0.11212381035361499,0.668752816567544,0.20713785864240727,0.9354437028310986,0.07549269342000625,0.00797389465309411,0.11307794116557676,0.2838060604358484
41,music/Soundtracks&More/Kopi_Luwak_Music-Cosmosmp3, A, major, 143.743255615,0.14445230357979824,0.13061362021397305,0.6474763605315558,0.18054583624912526,0.9178329177411051,0.1399817621289641,0.044063829699793035,0.06858750798959162,0.28419426726673824
42,music/Latin/Comando_ABM-Vete_al_diablomp3, D, major, 129.744506836,0.18207486307427467,0.1499688878025536,0.6451294103242776,0.1735479356193142,0.8901506879217569,0.04344756390874438,0.0729567421773012,0.11963427203201958,0.2846137953575303
43,music/Comedy&SpokenWord/Roger_Flensing-Roger_Flensing_Speaks_of_Eatingmp3, F#, minor, 105.332847595,0.20563090675783383,0.1149336702710699,0.5407352063341239,0.21903428971308608,0.9838998403216208,0.1263787188269913,0.0016786002992584194,0.0875121477433955,0.28497542253342245
44,music/Soundtracks&More/Bah__the_Humbugs-Christmas_Tree_from_Hellmp3, G, major, 133.51260376,0.12795630973094307,0.09579515264363354,0.562540351228814,0.15325402379286215,0.9435416633491909,0.02948456487657944,0.28158980067167516,0.08582724892066261,0.2849986394017951
45,music/Blues/Left_Tail_Light_Band-Night_Time_in_Americamp3, C, major, 90.2392730713,0.2619510113529156,0.24133033200773746,0.12701148760528444,0.1980405878236529,0.961232905319839,0.0792353131987247,0.2985336442926857,0.12237538508329092,0.2862138333355163
46,music/World/Akoya_Afrobeat-star_warsmp3, B, minor, 92.2368850708,0.24416948145541004,0.2104533623809307,0.5663936126183035,0.18754373687893633,0.8856292289123862,0.0746516918652384,0.03488810793008345,0.09111149982647579,0.28685509023347056
47,music/EasyListening&Vocals/Carolyn_Beattie-Fall_Into_Lovemp3, F, major, 79.9923629761,0.14022629849262944,0.12313458996723334,0.6810817680179759,0.21483554933519944,0.8443090520029907,0.03989653500154004,0.18107653064614268,0.07196384424136512,0.2870655209631346
48,music/Rock&Pop/Aimee_Mann-Dear_Johnmp3, C#, major, 89.010925293,0.23543582720095843,0.28577203246419286,0.33443060558437265,0.19104268719384185,0.9567612237187537,0.09705533276048918,0.11202817174955909,0.08721655207173099,0.28746780409298733
49,music/Comedy&SpokenWord/Tales_2_Tell-Midnight_Stroll_(Vocal_Mix)mp3, G, major, 144.673706055,0.15258957768599624,0.11488832241202859,0.5898958957237875,0.21483554933519944,0.924158645895792,0.0655774885655353,0.15818816198419353,0.07968005922326284,0.28747671260322444
50,music/Folk/Mon_Doh-Bonagiamp3, B, minor, 100.027587891,0.13942251202196088,0.1308502799987619,0.6734996515310561,0.23372988103568929,0.9159578755768691,0.07097032740015174,0.0007806335633067756,0.138316419905401,0.2879409476291496
51,music/Comedy&SpokenWord/Scott_Laningham-A_Fishtalemp3, C, major, 125.315658569,0.12907535648039106,0.11606119139723783,0.6938622794566369,0.21203638908327502,0.9350573570360591,0.016748093723299707,0.11464636311962173,0.09082130276362647,0.28853854163251846
52,music/Alternative&Punk/The_Long_Winters-Ultimatummp3, D, major, 100.697570801,0.16658417179713209,0.23073022348680658,0.6048503603943705,0.185444366689993,0.9540046503056197,0.04356019173679078,0.032586621839586716,0.09183193456368968,0.28869906510174864
53,music/Jazz/Alvaro-Winds_of_Spring_by_Alvaromp3, B, major, 92.0042114258,0.14645775239674824,0.10683269210666643,0.5538937856152788,0.2561231630510847,0.9550878328021264,0.20922299322045568,0.002059109784489055,0.08234581887705862,0.2890028934817385
54,music/Religious/Randy_Vild-Pass_Over_Memp3, G, major, 92.9769897461,0.18171775172423363,0.21854721514164394,0.6044088013991692,0.22743177046885935,0.89980621834007,0.08271741238539902,0.005888129253246647,0.09268774509509309,0.2891506304759643
55,music/Comedy&SpokenWord/Roger_Flensing-Roger_Flensing_Speaks_of_the_Telephonemp3, F#, minor, 106.619667053,0.18441636903575057,0.09907332713696296,0.5484279398651402,0.2092372288313506,0.9854850104391698,0.14824112876402118,0.055581051718524496,0.08588168052507603,0.2895429670394995
56,music/EasyListening&Vocals/tlom-TLOM_-_The_Law_Of_Miracles_-_Mystic_Rivermp3, D#, major, 90.0321884155,0.2955704505931663,0.16124609555415564,0.2629411334478969,0.33170048985304407,0.8982572847834628,0.13184861267255343,0.11673002659638249,0.12084237236326005,0.2898920582329902
