,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Blues/Joe_Burba-Your_Helping_Handmp3, C, major, 104.947799683,0.0,0.0,0.0,0.0,0.0,0.006594043756100184,0.0,0.0,0.000824255469512523
1,music/Country/Dave_Jorgenson-Living_A_Liemp3, D, major, 104.058448792,0.240383096675159,0.17654958258873424,0.18215038670721473,0.33651726671565024,0.967564818006315,0.012597162878040094,0.17124406907814282,0.05541846156355488,0.26780310552660136
2,music/Rock&Pop/Fresno-Orgulhomp3, D, major, 105.057395935,0.22819338404599512,0.16594036734306572,0.1443497095078194,0.3438648052902278,0.9659461495403906,0.03399333077245864,0.20519513973831657,0.05660428644454771,0.2680108965853527
3,music/EasyListening&Vocals/Paulo_Muniz-Viagemmp3, D, major, 105.119140625,0.19739194081639871,0.19932803572430557,0.09566452395159528,0.3475385745775165,0.9721093723640482,0.03473151660148302,0.2159362450262794,0.09459099949367511,0.2696614010694127
4,music/Country/Robert_Allen-Blues_Over_Yoump3, D, major, 105.092018127,0.2167061188361041,0.19094602619833329,0.10468468340140391,0.3152094048493755,0.9741899479635358,0.025635554458450827,0.19301954781232222,0.1473105437388016,0.2709627284072909
5,music/Latin/La_Preferencia-Me_Robaste_El_Corazonmp3, G, major, 104.396331787,0.2599171854061387,0.1973531650076661,0.13620031177010408,0.3218221895664952,0.9538972514452704,0.06163421235674967,0.1898313916144052,0.06717992649092554,0.2734794542072193
6,music/Rock&Pop/Suzanne_Vega-Marlene_On_The_Wallmp3, A, major, 104.351051331,0.24294239421128705,0.2364110541055601,0.1305492177467274,0.346069066862601,0.9704352593204689,0.00987295039957024,0.16677800645933277,0.08541058992923597,0.2735585673793479
7,music/Soundtracks&More/david_elias-Christmas_Bluemp3, E, minor, 104.350692749,0.22807708412340502,0.24370587304716246,0.17888570207025117,0.3130051432770022,0.9772115863020542,0.01601532458085665,0.1511802712089188,0.08627349387430164,0.274294309810494
8,music/EasyListening&Vocals/Changamire-The_Keymp3, A#, minor, 103.890350342,0.23676200449651902,0.19131546755731638,0.2616147564643041,0.30933137398971344,0.9432083723449295,0.03634704048987874,0.1638873387923552,0.05515309213898497,0.27470243078425016
9,music/Jazz/Bobby_Brewer-Who_Wants_Piemp3, A#, major, 103.978263855,0.22958137374990437,0.19783962091765553,0.2123544982406841,0.3504775900073475,0.9708710957937621,0.022380062972513114,0.166197086299785,0.054312155545506946,0.2755016854408948
10,music/Folk/DANNY_COWAN_GROUP-Blue_Is_The_Color_Of_My_Heartmp3, D, major, 104.487937927,0.20591979973790872,0.15426577436201455,0.23467952984450524,0.2784717119764879,0.9488663901419331,0.044751860464105946,0.2721575445158361,0.07418883038254773,0.2766626801781674
11,music/Blues/Trinity_Electric_Lady-Burninmp3, D, major, 106.844535828,0.2579179372938787,0.17459492731547432,0.2589487025684405,0.3232916972814107,0.9016460365360338,0.056447712949124984,0.21454823907995754,0.03892538353503619,0.2782900795699196
12,music/Folk/Sounds_Like_Fall-St_Majellamp3, G, major, 105.984985352,0.25581855402280507,0.23029001614885264,0.24303278449021998,0.3232916972814107,0.9589989219681452,0.011261536368040906,0.18514072579950186,0.04311022040576093,0.28136805706059215
13,music/Alternative&Punk/Nancy_Galvao-O_Coiotemp3, A#, major, 106.942771912,0.22932687126678278,0.21751723435401799,0.3215889683306441,0.3100661278471712,0.9725966148479473,0.010415814722043818,0.15535229501271522,0.06918213519881147,0.28575575769751677
14,music/Country/Kacey_Jones-Apples_Dipped_In_Candymp3, A, minor, 69.8245849609,0.2271737494107882,0.134689091254678,0.3948768051015256,0.33651726671565024,0.9761545881698843,0.030741351148762256,0.16785470676537914,0.06914098111814167,0.2921435674606012
15,music/Country/Terry-The_Legend_of_John_Wesley_Hardenmp3, D, minor, 107.632209778,0.21799442583005857,0.24963507544307992,0.40105113359467925,0.3056576047024247,0.9640893114040336,0.007504475640601214,0.1487192479583916,0.04590755701187105,0.29256985394814244
16,music/Country/Steel_Creek_Band-Satans_Bellmp3, A, major, 105.929077148,0.30966155180086985,0.2606517025626352,0.1620446404364865,0.30933137398971344,0.9789063026589075,0.022940395167642715,0.20856700012358712,0.09945783500471447,0.2939451002180697
17,music/Blues/Ed_Stallman-Fret_Fevermp3, C, major, 104.702301025,0.2811892741650879,0.17378753976621913,0.2402397048348159,0.3468038207200588,0.9324365764699053,0.029057719646194923,0.20202611625395825,0.14765695464488024,0.29414971331264006
18,music/Childrens's/Joe_Imperato-The_Ant_Dancemp3, D#, major, 104.501647949,0.26761171579301535,0.2607088603058147,0.11453674548159799,0.3739897134459956,0.9925919134396024,0.02571873363944572,0.25468774927936555,0.07783823908599159,0.29596045880885363
19,music/Country/Misty_Dawn_Work-Jesus_Hold_My_Handmp3, D, minor, 103.99886322,0.2301788530339164,0.1972065158284902,0.27194996776483293,0.3387215282880235,0.9739624468600311,0.04127461264018452,0.19184876431575826,0.12325357819700446,0.2960495333660302
20,music/Country/The_Merritts_featuring_Randy_Howard-The_Reckoning_Timemp3, C, major, 105.248847961,0.30241040072984116,0.2011109423532671,0.10536587827733765,0.33945628214548124,0.9712208290265931,0.06394571621870497,0.3260264651513993,0.06417942224824218,0.29671449201885836
21,music/Religious/JADE_TRINI_GORING-ON_MY_KNEESmp3, B, minor, 104.783119202,0.26444477943940764,0.29374658669307513,0.19852897439573933,0.32696546656869946,0.9749936527016154,0.028009876068285013,0.23457430677844004,0.05411009408481341,0.2969217170912594
22,music/R&B&Soul/The_Grand_Central_Band-Let_The_Angels_Singmp3, G, major, 106.072387695,0.2478976346796292,0.30912185435949985,0.270198269757319,0.31594415870683323,0.978406299314155,0.022963794770617864,0.14739224031186557,0.08998630597640367,0.29773881973454036
23,music/Rock&Pop/Lucinda_Williams-Pyramid_of_Tearsmp3, G#, minor, 103.480918884,0.25271347976772096,0.2956096941001311,0.2707081729140695,0.2990448199853049,0.9652071327310973,0.028839049347669475,0.2400547557763398,0.03498912390523291,0.29839577856594574
