,original vs detected,count
0,"(Rock&Pop, World)",3
1,"(Hip-Hop, Rock&Pop)",5
2,"(Blues, Blues)",5
3,"(Country, Alternative&Punk)",8
4,"(Soundtracks&More, NewAge)",3
5,"(Comedy&SpokenWord, Electronic&Dance)",2
6,"(Comedy&SpokenWord, Classical)",1
7,"(Hip-Hop, Childrens's)",1
8,"(Alternative&Punk, Electronic&Dance)",1
9,"(Religious, Blues)",4
10,"(Hip-Hop, Country)",3
11,"(Electronic&Dance, World)",2
12,"(Childrens's, Classical)",1
13,"(Latin, EasyListening&Vocals)",3
14,"(Rock&Pop, Folk)",3
15,"(Folk, R&B&Soul)",1
16,"(Blues, Jazz)",5
17,"(Electronic&Dance, Alternative&Punk)",2
18,"(Alternative&Punk, Reggae)",1
19,"(Hip-Hop, Comedy&SpokenWord)",2
20,"(Country, World)",4
21,"(Childrens's, Religious)",9
22,"(Reggae, Soundtracks&More)",1
23,"(Childrens's, Rock&Pop)",2
24,"(R&B&Soul, R&B&Soul)",6
25,"(Soundtracks&More, Electronic&Dance)",1
26,"(Rock&Pop, Religious)",6
27,"(Latin, Country)",4
28,"(NewAge, Classical)",5
29,"(Latin, Religious)",4
30,"(NewAge, EasyListening&Vocals)",2
31,"(Blues, Latin)",2
32,"(R&B&Soul, Religious)",5
33,"(Blues, Comedy&SpokenWord)",5
34,"(Alternative&Punk, Folk)",5
35,"(Alternative&Punk, Classical)",4
36,"(Soundtracks&More, Latin)",2
37,"(World, Classical)",4
38,"(Country, Religious)",3
39,"(World, Folk)",5
40,"(Jazz, Jazz)",11
41,"(Blues, NewAge)",5
42,"(R&B&Soul, Blues)",1
43,"(Reggae, Rock&Pop)",2
44,"(Comedy&SpokenWord, World)",1
45,"(Childrens's, World)",3
46,"(EasyListening&Vocals, Jazz)",2
47,"(Rock&Pop, Jazz)",5
48,"(Alternative&Punk, Alternative&Punk)",6
49,"(Electronic&Dance, Religious)",2
50,"(Jazz, Comedy&SpokenWord)",2
51,"(Country, Latin)",1
52,"(Latin, Alternative&Punk)",11
53,"(R&B&Soul, NewAge)",1
54,"(Latin, R&B&Soul)",2
55,"(Latin, Folk)",4
56,"(Blues, Classical)",3
57,"(Alternative&Punk, EasyListening&Vocals)",2
58,"(World, NewAge)",7
59,"(Alternative&Punk, R&B&Soul)",2
60,"(Soundtracks&More, Comedy&SpokenWord)",3
61,"(Jazz, Rock&Pop)",4
62,"(Classical, Comedy&SpokenWord)",1
63,"(Jazz, Folk)",4
64,"(Latin, Childrens's)",2
65,"(Hip-Hop, Soundtracks&More)",2
66,"(EasyListening&Vocals, Religious)",3
67,"(Religious, Folk)",3
68,"(Comedy&SpokenWord, Childrens's)",3
69,"(Comedy&SpokenWord, Folk)",3
70,"(Folk, Rock&Pop)",1
71,"(Soundtracks&More, Country)",3
72,"(NewAge, Alternative&Punk)",3
73,"(Soundtracks&More, R&B&Soul)",1
74,"(Comedy&SpokenWord, Reggae)",1
75,"(Blues, Rock&Pop)",5
76,"(Electronic&Dance, Blues)",4
77,"(NewAge, Comedy&SpokenWord)",3
78,"(Blues, EasyListening&Vocals)",1
79,"(Blues, World)",1
80,"(Folk, Alternative&Punk)",2
81,"(Alternative&Punk, Comedy&SpokenWord)",2
82,"(NewAge, Childrens's)",2
83,"(Religious, Jazz)",3
84,"(Childrens's, Comedy&SpokenWord)",2
85,"(R&B&Soul, Hip-Hop)",8
86,"(Reggae, Religious)",1
87,"(Reggae, R&B&Soul)",8
88,"(Soundtracks&More, Blues)",1
89,"(World, Blues)",2
90,"(Jazz, Alternative&Punk)",6
91,"(Folk, Jazz)",3
92,"(Religious, Religious)",3
93,"(World, EasyListening&Vocals)",3
94,"(Reggae, Blues)",5
95,"(Jazz, R&B&Soul)",2
96,"(Rock&Pop, Soundtracks&More)",2
97,"(Religious, Soundtracks&More)",4
98,"(Country, Folk)",4
99,"(Electronic&Dance, Folk)",3
100,"(Alternative&Punk, Blues)",4
101,"(Classical, NewAge)",6
102,"(Alternative&Punk, Religious)",7
103,"(R&B&Soul, Reggae)",3
104,"(R&B&Soul, Alternative&Punk)",2
105,"(Electronic&Dance, Reggae)",4
106,"(Hip-Hop, Jazz)",7
107,"(World, R&B&Soul)",4
108,"(Comedy&SpokenWord, Blues)",4
109,"(R&B&Soul, Comedy&SpokenWord)",2
110,"(Rock&Pop, Country)",7
111,"(Reggae, Jazz)",3
112,"(NewAge, Country)",1
113,"(R&B&Soul, EasyListening&Vocals)",5
114,"(R&B&Soul, Latin)",1
115,"(Soundtracks&More, Alternative&Punk)",1
116,"(R&B&Soul, Rock&Pop)",3
117,"(Alternative&Punk, Latin)",2
118,"(Reggae, Electronic&Dance)",1
119,"(Jazz, Childrens's)",3
120,"(NewAge, Jazz)",8
121,"(Electronic&Dance, Rock&Pop)",3
122,"(Folk, Childrens's)",3
123,"(R&B&Soul, Country)",2
124,"(EasyListening&Vocals, Folk)",4
125,"(Childrens's, Country)",5
126,"(Latin, Rock&Pop)",3
127,"(Classical, Religious)",2
128,"(Classical, World)",7
129,"(Country, Jazz)",8
130,"(NewAge, NewAge)",6
131,"(Childrens's, NewAge)",1
132,"(NewAge, World)",1
133,"(NewAge, R&B&Soul)",4
134,"(World, Rock&Pop)",3
135,"(EasyListening&Vocals, Soundtracks&More)",6
136,"(Latin, World)",1
137,"(Classical, R&B&Soul)",1
138,"(Alternative&Punk, Rock&Pop)",5
139,"(R&B&Soul, Folk)",3
140,"(Comedy&SpokenWord, Country)",10
141,"(NewAge, Folk)",1
142,"(EasyListening&Vocals, Comedy&SpokenWord)",3
143,"(Folk, Soundtracks&More)",4
144,"(EasyListening&Vocals, Classical)",11
145,"(Rock&Pop, Rock&Pop)",10
146,"(Electronic&Dance, Classical)",1
147,"(Country, Reggae)",1
148,"(Blues, Alternative&Punk)",3
149,"(Childrens's, Childrens's)",2
150,"(Folk, Classical)",1
151,"(EasyListening&Vocals, Rock&Pop)",7
152,"(Comedy&SpokenWord, Latin)",1
153,"(Childrens's, EasyListening&Vocals)",4
154,"(Electronic&Dance, Country)",4
155,"(EasyListening&Vocals, Country)",6
156,"(Country, Rock&Pop)",4
157,"(Blues, Soundtracks&More)",1
158,"(World, Jazz)",4
159,"(Soundtracks&More, World)",6
160,"(Electronic&Dance, Comedy&SpokenWord)",1
161,"(Childrens's, Reggae)",3
162,"(Reggae, Country)",3
163,"(Soundtracks&More, Jazz)",2
164,"(Hip-Hop, Latin)",3
165,"(NewAge, Blues)",3
166,"(Religious, NewAge)",3
167,"(Hip-Hop, World)",1
168,"(Reggae, Folk)",1
169,"(Hip-Hop, Alternative&Punk)",4
170,"(R&B&Soul, World)",2
171,"(Comedy&SpokenWord, R&B&Soul)",1
172,"(Rock&Pop, Alternative&Punk)",4
173,"(NewAge, Religious)",2
174,"(Hip-Hop, Reggae)",3
175,"(Classical, Soundtracks&More)",4
176,"(Latin, Latin)",3
177,"(Blues, Religious)",6
178,"(Blues, Folk)",5
179,"(Comedy&SpokenWord, Soundtracks&More)",1
180,"(EasyListening&Vocals, EasyListening&Vocals)",2
181,"(Childrens's, Folk)",7
182,"(Religious, Alternative&Punk)",4
183,"(Blues, Country)",3
184,"(Folk, Religious)",6
185,"(Soundtracks&More, Childrens's)",1
186,"(Religious, Rock&Pop)",5
187,"(Classical, Classical)",22
188,"(Religious, Country)",7
189,"(Jazz, Blues)",5
190,"(Soundtracks&More, EasyListening&Vocals)",4
191,"(Soundtracks&More, Religious)",2
192,"(Hip-Hop, R&B&Soul)",2
193,"(Jazz, Religious)",7
194,"(World, Comedy&SpokenWord)",1
195,"(NewAge, Electronic&Dance)",1
196,"(Classical, Childrens's)",1
197,"(Soundtracks&More, Classical)",7
198,"(Reggae, Alternative&Punk)",4
199,"(Comedy&SpokenWord, NewAge)",6
200,"(Jazz, Reggae)",1
201,"(R&B&Soul, Childrens's)",1
202,"(Country, Blues)",4
203,"(Hip-Hop, Religious)",2
204,"(Latin, Soundtracks&More)",2
205,"(Hip-Hop, Blues)",7
206,"(Religious, Classical)",7
207,"(Childrens's, Alternative&Punk)",3
208,"(Alternative&Punk, Soundtracks&More)",1
209,"(R&B&Soul, Jazz)",5
210,"(Soundtracks&More, Folk)",2
211,"(EasyListening&Vocals, NewAge)",1
212,"(Childrens's, Soundtracks&More)",2
213,"(Childrens's, Blues)",3
214,"(Electronic&Dance, R&B&Soul)",1
215,"(Classical, Jazz)",3
216,"(Electronic&Dance, Jazz)",4
217,"(Comedy&SpokenWord, Religious)",2
218,"(Country, Comedy&SpokenWord)",2
219,"(Folk, Country)",4
220,"(Folk, Comedy&SpokenWord)",4
221,"(Latin, Jazz)",7
222,"(NewAge, Rock&Pop)",5
223,"(Reggae, Hip-Hop)",3
224,"(Reggae, Childrens's)",4
225,"(Reggae, Reggae)",7
226,"(Rock&Pop, EasyListening&Vocals)",1
227,"(Country, Country)",9
228,"(EasyListening&Vocals, World)",3
229,"(Alternative&Punk, Jazz)",4
230,"(World, Religious)",6
231,"(Rock&Pop, Latin)",1
232,"(Rock&Pop, Blues)",4
233,"(Hip-Hop, Folk)",1
234,"(NewAge, Reggae)",1
235,"(Soundtracks&More, Soundtracks&More)",9
236,"(World, Soundtracks&More)",2
237,"(Jazz, Country)",4
238,"(Religious, World)",1
239,"(Electronic&Dance, Electronic&Dance)",17
240,"(Rock&Pop, Childrens's)",4
241,"(Electronic&Dance, Soundtracks&More)",1
242,"(Soundtracks&More, Rock&Pop)",2
243,"(Religious, Childrens's)",3
244,"(Comedy&SpokenWord, Comedy&SpokenWord)",11
245,"(Latin, Reggae)",1
246,"(Classical, Latin)",2
247,"(Folk, Folk)",10
248,"(Country, Soundtracks&More)",1
249,"(Country, EasyListening&Vocals)",1
250,"(Alternative&Punk, Country)",4
251,"(Religious, EasyListening&Vocals)",3
252,"(NewAge, Latin)",2
253,"(Reggae, Comedy&SpokenWord)",3
254,"(World, Alternative&Punk)",4
255,"(World, World)",5
256,"(Latin, Blues)",1
257,"(Folk, World)",7
258,"(Folk, Blues)",4
259,"(Hip-Hop, Hip-Hop)",7
260,"(Electronic&Dance, EasyListening&Vocals)",1
261,"(Reggae, Latin)",4
262,"(Childrens's, R&B&Soul)",3
263,"(EasyListening&Vocals, Latin)",2
264,"(Classical, Folk)",1
265,"(Jazz, Latin)",1
266,"(Comedy&SpokenWord, Alternative&Punk)",3
267,"(Latin, Hip-Hop)",2
