,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Electronic/Dynatron-PulsePowermp3,0.0, D, minor,0.0, 116.004959106,0.0,0.0,0.0,0.0,0.0
1,music/WorldMusic/AndreyVinogradov-MedievalTunemp3,0.3781088478746383, G, minor,0.23198773633111905, 111.668838501,0.5879269660331479,0.16178185044174126,0.4651499556320867,1.3271644257976403e-06,0.30415944724619315
2,music/Soundtrack/TheWitcher3-TheFieldsofArdSkelligmp3,0.3688563446247594, D, minor,0.2171691364333163, 178.205566406,0.6909201820549862,0.09397577472475047,0.5646063853885315,7.907024354538606e-07,0.32258810232146323
3,music/Soundtrack/Vikings-FlokiAppearstoKillAthelstanmp3,0.3719075048856194, C#, major,0.24374041900868676, 89.8669128418,0.6988959663636007,0.11832623392002035,0.5290571287822001,6.630598914704655e-07,0.3269879860033365
4,music/WorldMusic/JohnButler-Oceanmp3,0.30848878288914067, E, major,0.33929483903934593, 97.3883056641,0.6566367176678556,0.07498906822224446,0.5966707887291348,5.558782129109069e-07,0.3293467920709891
5,music/Klassik/Bach-Toccaqta&FugueDMinorBWV565Toccatamp3,0.3607017526907027, D, minor,0.26469085334695963, 117.647331238,0.5480228404558785,0.28854727376322914,0.5535623750195489,8.514585498135635e-07,0.3359209911224781
6,music/Pop/AnnaBurch-2Cool2Caremp3,0.32956073141065134, A, major,0.30505876341338783, 117.597358704,0.40792368520032035,0.14756204265679312,0.8710862276838806,4.510444062473743e-07,0.34353198356823994
7,music/Pop/Sigrid-Strangersmp3,0.3870095577238036, B, minor,0.2784874808380174, 116.273414612,0.3488932790103819,0.26870537594746113,0.81258698364868,3.11207333474649e-07,0.3492804980626129
8,music/Metal/SystemOfADown-Toxicitymp3,0.37891036541079015, C, minor,0.2636688809402146, 115.074310303,0.4726488836767042,0.06221785734925758,0.9237397548828588,5.168860158855569e-07,0.35019770985764015
9,music/WorldMusic/annaRF-Whymp3,0.3452050036844813, G, minor,0.2677567705671947, 112.351074219,0.5940771812152825,0.05574606674175764,0.8615410880128508,5.515400854569676e-07,0.354054443626942
10,music/Klassik/JStraussI_Radetzky-MarschOp228mp3,0.37182323242224613, D, major,0.31630045988758304, 106.524047852,0.7891047591679136,0.08658467360637591,0.5618354630721986,1.2188787160394872e-06,0.3542749678391722
11,music/Rock/BillyTalent-CurefortheEnemymp3,0.3983310335715664, D#, minor,0.2621359223300971, 117.713493347,0.5626818406441548,0.09644365476420426,0.8611000521561772,4.839497026388675e-07,0.36344883123598376
12,music/Pop/Halsey-HeavenInHidingmp3,0.4863864199989055, C#, minor,0.2508942258559019, 117.763298035,0.4536199455679029,0.10661043231223571,0.8857165481777816,4.951226497147572e-07,0.36387134450589625
13,music/Jazz/JukkaPerkoAvara-TearsInHeavenmp3,0.34593901962786505, A, major,0.28819621870209505, 98.4524993896,0.8020607636951613,0.1674441816324995,0.6013553892381496,1.8323155304196477e-06,0.3674995675352168
14,music/Klassik/Pachelbel_CanonAndGigueInDMajor-1Canonmp3,0.3772577610339553, C#, major,0.2616249361267246, 152.013336182,0.7254171806207258,0.14914968974550522,0.7097618627012008,7.902519717020127e-07,0.37053537008001386
15,music/Klassik/Rachmaninov-PréludeinCsharpminorOp3No2mp3,0.4140088708149593, C#, minor,0.2733776188042923, 116.732597351,0.5458619176521732,0.18009123883041153,0.8840309531340261,5.525091727446947e-05,0.38290430835885614
16,music/Jazz/PaoloFresuJanLundgren-Kristallendenfinamp3,0.38005687044033243, D, minor,0.2784874808380174, 140.128921509,0.6492763857156459,0.17218434785661038,0.8265527858967044,7.494897873995499e-06,0.38442756094086405
17,music/WorldMusic/LaboratoriumPieśni-Sztojpamorump3,0.6343208294491657, C#, major,0.2396525293817067, 77.5753860474,0.7180503322408713,0.12730008531125908,0.5948562034192215,2.2690359859650934e-06,0.385697041473035
18,music/Klassik/LangLang_LaCampanellaIIetudeforpianoinGsharpminor(GrandPaganiniÉtudeNo3)S1413(LWA1733)mp3,0.3970331261395249, G#, minor,0.27491057741440983, 163.483779907,0.6438371074040836,0.1771560340795111,0.8279111867762465,1.187118451497646e-05,0.3868099838330485
19,music/Metal/Uada-BlackAutumnWhiteSpringmp3,0.3067457505354832, D, minor,0.3270311701584057, 102.767547607,0.7155579333036629,0.16244290846037904,0.8304740547300659,8.430842433743502e-07,0.3903754433787067
20,music/Soundtrack/GameOfThrones-MainTitlesmp3,0.32544410984260563, C, minor,0.2641798671435871, 172.265808105,0.8719195069315402,0.2921396457459179,0.6374427417634732,4.5572059570343185e-07,0.3985210545246199
21,music/Rock/RiseAgainst-PrayeroftheRefugeemp3,0.4019810439918054, D#, minor,0.2534491568727644, 97.9537963867,0.7378744360866623,0.14716737626861467,0.8547457643668687,7.773786278179922e-07,0.399203092494224
22,music/Electronic/DaftPunk-Withinmp3,0.33792163757284527, C#, major,0.30608073582013284, 110.342224121,0.7139092771095238,0.21530273860971544,0.8308937140787582,6.267014501773229e-07,0.40068478831540427
23,music/Metal/Amorphis-HouseOfSleepmp3,0.32805123691442367, C, minor,0.26469085334695963, 125.022087097,0.8440459454464065,0.08779502345817208,0.887427417316363,5.016102509943056e-07,0.40200182968209597
24,music/Soundtrack/Outlander-DanceoftheDruids(featRayaYarbrough)mp3,0.39533699182984505, A, minor,0.22432294328053143, 136.45451355,0.7103757576828144,0.3248183523737048,0.7572136689193791,1.0016378162579904e-06,0.4020114526206818
25,music/Pop/DavidBowie-LifeOnMarsmp3,0.37627859305682243, A#, major,0.2927950945324476, 125.222671509,0.6788931185231556,0.1399633723022908,0.9256401029847238,4.5166328171351477e-07,0.402261788843787
26,music/HipHop/KidCudi-MrRagermp3,0.45470582731540915, B, minor,0.2677567705671947, 102.060325623,0.8399899270030853,0.0604322649644753,0.8081005258772769,4.383524474614379e-07,0.40516429234664814
27,music/Soundtrack/FleshAndBone-Dakini_MovementIVmp3,0.3297865806833577, D#, major,0.30556974961676037, 124.987091064,0.8761521151785587,0.08762310158691741,0.8363214760069657,5.217981169210444e-07,0.4059089241451128
28,music/Electronic/MartinGarrix-Animals(OriginalMix)mp3,0.45585377250281506, F, minor,0.20439448134900357, 128.125137329,0.8800666571307814,0.11027609896183625,0.7872009045959278,7.115572937406692e-07,0.40629877101627637
