,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Metal/Metallica-MothIntoFlamemp3,0.0, A, minor,0.0, 90.3373794556,0.0,0.0,0.7365780878364331,0.0,0.12276301463940552
1,music/WorldMusic/AndreyVinogradov-MedievalTunemp3,0.46504659981534036, G, minor,0.18331805682859761, 111.668838501,0.5514546265904857,0.06162336022467148,0.6417919583205085,2.53240787028422e-06,0.31720618903124564
2,music/Soundtrack/Vikings-FlokiAppearstoKillAthelstanmp3,0.4583745954154923, C#, major,0.20898258478460127, 89.8669128418,0.276839199580265,0.10719125694874236,0.8653125990704988,1.322069258971417e-06,0.3194502596448098
3,music/Electronic/AlanWalker-Fadedmp3,0.3035088842462856, F#, major,0.1924839596700275, 90.0402908325,0.28265887133329726,0.4558821265488163,0.822290285682748,6.992305172417603e-07,0.34280413778528196
4,music/Metal/DarkTranquillity-PunishMyHeavenmp3,0.25136074378178397, C#, minor,0.18285976168652612, 133.242721558,0.64985393765012,0.019236623326575098,0.9540772923070671,2.0828307488004885e-07,0.3428980945058579
5,music/Rock/BillyTalent-CurefortheEnemymp3,0.2859552786561446, D#, minor,0.1856095325389551, 117.713493347,0.46736971716686626,0.2187695561865038,0.9202500800699202,2.710636041659883e-07,0.34632573928033233
6,music/Metal/SystemOfADown-Toxicitymp3,0.30751550670917405, C, minor,0.15490375802016498, 115.074310303,0.5970529808640356,0.1267482952073836,0.8983504849266464,3.310683606979579e-07,0.3474285594659609
7,music/Jazz/PaoloFresuJanLundgren-Kristallendenfinamp3,0.47396115448469534, D, minor,0.16590284142988085, 140.128921509,0.44069036432796144,0.20321131773165188,0.8123163661674175,9.751502104178478e-06,0.3493486326072852
8,music/WorldMusic/annaRF-Whymp3,0.3396590063712437, G, minor,0.16361136571952337, 112.351074219,0.7124098855270323,0.17642974730094657,0.7177645206146014,1.0955518986085114e-06,0.35164593684754103
9,music/Pop/AliottaHaynesJeremiah-LakeShoreDrivemp3,0.31144627717422135, E, major,0.19890009165902842, 94.884765625,0.6557763701903642,0.1583491051694748,0.7947885289965975,4.030174653406864e-07,0.3532101293678586
10,music/Rock/RiseAgainst-PrayeroftheRefugeemp3,0.36120154102734076, D#, minor,0.18102658111824016, 97.9537963867,0.619458110138684,0.06456009532251561,0.9058953559521142,4.604608629310994e-07,0.355357024003293
11,music/Rock/Radiohead-Creepmp3,0.2982918713563083, C, major,0.16406966086159486, 92.4155807495,0.3446755223440676,0.5221627036020103,0.8158350061136881,4.794871608731159e-07,0.35750587396080497
12,music/Klassik/Rachmaninov-PréludeinCsharpminorOp3No2mp3,0.5608482133450893, C#, minor,0.15719523373052247, 116.732597351,0.4682486162801736,0.1870460409466534,0.7809046646130159,6.866900239337989e-05,0.35905190631964135
13,music/WorldMusic/JohnButler-Oceanmp3,0.33676466377413394, E, major,0.36663611365719523, 97.3883056641,0.5291188745041322,0.21615912732519613,0.7124387346268908,1.1881243883995258e-06,0.36018645033532276
14,music/Metal/Amorphis-HouseOfSleepmp3,0.33459855978450254, C, minor,0.16452795600366635, 125.022087097,0.7978322026207217,0.09940733214140932,0.8031648814512621,4.073090434054847e-07,0.36658855655176753
15,music/Klassik/LangLang_LaCampanellaIIetudeforpianoinGsharpminor(GrandPaganiniÉtudeNo3)S1413(LWA1733)mp3,0.515586775171761, G#, minor,0.1837763519706691, 163.483779907,0.5141048740297208,0.22446935251403966,0.7674587218584452,1.3755293023279133e-05,0.36756830513960986
16,music/Metal/Uada-BlackAutumnWhiteSpringmp3,0.3673276973786219, D, minor,0.33959670027497707, 102.767547607,0.5709960500525761,0.04246198050209035,0.8990515537545045,5.896724054243865e-07,0.3699057619391959
17,music/Metal/InFlames-TheNewWordmp3,0.2918654945263923, G, minor,0.14252978918423465, 166.092803955,0.829008781464649,0.07948054289046315,0.8895733819296252,2.2225653031918387e-07,0.3720763687086491
18,music/Metal/JudasPriest-Painkillermp3,0.3162549372681287, A, major,0.21310724106324472, 102.933151245,0.6952600023939075,0.01604260831146181,0.999577451644827,1.4366422695990965e-07,0.3733737307242994
19,music/Soundtrack/TheWitcher3-TheFieldsofArdSkelligmp3,0.492448296112369, D, minor,0.18148487626031165, 178.205566406,0.5367456915127238,0.1822415336197529,0.8607614596931694,1.7387307321009537e-06,0.3756139326548431
20,music/Rock/TheOffspring-You'reGonnaGoFarKidmp3,0.45270573908965717, C, major,0.1691109074243813, 126.112625122,0.7112789705906275,0.08951137073814465,0.842208009319014,1.8771189140509902e-07,0.37746919747895263
21,music/Pop/DavidBowie-LifeOnMarsmp3,0.3245125941869492, A#, major,0.17231897341888175, 125.222671509,0.6316430630459584,0.26517246711027465,0.8850427452958285,8.59341518395643e-07,0.3797817837332351
22,music/Pop/ElectricLightOrchestra-MrBlueSkymp3,0.30675887762814474, A#, major,0.26397800183318054, 178.205444336,0.6880470813144349,0.18509533303110406,0.8447011483800084,8.370897818485614e-07,0.38143021321277576
23,music/Klassik/Pachelbel_CanonAndGigueInDMajor-1Canonmp3,0.4978662573684219, C#, major,0.18927589367552705, 152.013336182,0.6325876368029535,0.059388181958056986,0.9322354020415856,1.3230724234089076e-06,0.3852257824864947
24,music/Rock/RedHotChiliPeppers-Snow(HeyOh)mp3,0.396380471244043, B, major,0.1998166819431714, 106.173690796,0.6737485217135425,0.09514861040295114,0.9628335732741876,5.928734369867784e-07,0.3879880752418888
25,music/Rock/Blink-182-Adam'sSongmp3,0.31828886753075275, F, major,0.17965169569202566, 136.178466797,0.7507169583098333,0.20518410818069116,0.8843908357487985,5.906252059400813e-07,0.3897055093478845
26,music/Metal/Gojira-Globalwarmingmp3,0.31068294891389553, C#, minor,0.2529789184234647, 94.3844528198,0.6645027822498312,0.35832107297053317,0.754458637658963,6.181259610145343e-07,0.3901574963904415
27,music/WorldMusic/LaboratoriumPieśni-Sztojpamorump3,0.5997961612622118, C#, major,0.1778185151237397, 77.5753860474,0.6004319473515152,0.1275617211017241,0.8368636451741039,1.8923959891746354e-06,0.3904123137348807
28,music/Klassik/Bach-Toccaqta&FugueDMinorBWV565Toccatamp3,0.4654107866511289, D, minor,0.17415215398716774, 117.647331238,0.5085623468451528,0.3855548095631755,0.8169258873115477,1.4770104231860104e-06,0.3917679102280993
29,music/Klassik/JStraussI_Radetzky-MarschOp228mp3,0.45877325060927415, D, major,0.19660861594867093, 106.524047852,0.7065128852194177,0.19230572186624242,0.7967027431390306,1.8779675016211185e-06,0.3918175157916896
30,music/HipHop/KidCudi-MrRagermp3,0.47026779969237803, B, minor,0.15536205316223647, 102.060325623,0.7759131385463057,0.15953074153652202,0.7939677744009602,1.0849296012668456e-06,0.39250709871133393
31,music/Reggae/BobMarley-NoWomanNoCrymp3,0.3774157159504758, C, major,0.4413382218148488, 155.295715332,0.7872746698119277,0.04955331556411451,0.7266767522351865,1.0324892977071672e-06,0.39704328464430844
32,music/HipHop/Romano-Köpenickmp3,0.48838756697153335, E, minor,0.14298808432630614, 94.9803924561,0.7911072283625115,0.07280081310832648,0.8983412315731701,3.274015622803547e-07,0.39893754195723496
33,music/WorldMusic/EstasTonne-TheSongoftheGoldenDragonmp3,0.41980158543641644, C, major,0.3102658111824015, 132.522079468,0.6324397171110246,0.2427660144005038,0.8002729700855921,1.5518454015279226e-06,0.40092460834355664
34,music/Rock/Pvris-MyHousemp3,0.3136985790716558, C, major,0.18194317140238314, 129.15222168,0.6847404661904264,0.29215025662427635,0.9397909512807026,8.026722083295402e-07,0.40205403787360877
35,music/Metal/Eluveitie-Neverlandmp3,0.36197770037704496, B, minor,0.16315307057745188, 109.961982727,0.9656193240294659,0.016875690289481403,0.9113893933655816,2.4463261619294754e-07,0.40316923721194026
36,music/Jazz/EricBibbCelticRootsEnsemble-StJamesInfirmarymp3,0.3369336829872721, A, minor,0.16361136571952337, 104.842964172,0.7279886151002152,0.2978675086687614,0.8973174313242582,5.37394900528743e-07,0.40395319019915515
37,music/Pop/DuaLipa-NewLovemp3,0.3368266041698069, G#, major,0.2538955087076077, 178.20539856,0.8176406341766961,0.08695950265255392,0.931416897601532,4.6446835564192497e-07,0.40445660196275873
38,music/Rock/Wallows-Scrawny[Explicit]mp3,0.44102566596055154, A, major,0.17919340054995417, 137.751556396,0.8239396944101773,0.16488982540329225,0.8183216835431236,3.2632397195209434e-07,0.40456176603184507
39,music/Electronic/DaftPunk-Withinmp3,0.4056766900435609, C#, major,0.19615032080659944, 110.342224121,0.6507451583463003,0.3226485698131515,0.8556704350137413,1.5153416913132426e-06,0.4051487815608408
40,music/HipHop/PrinzPi-KompassohneNordenmp3,0.6098606516680687, C, major,0.1778185151237397, 84.9720001221,0.6779373743107501,0.15563221746576134,0.8114196894591719,7.496028107397916e-07,0.4054448662717171
41,music/Soundtrack/FleshAndBone-Dakini_MovementIVmp3,0.3935122770564454, D#, major,0.19569202566452795, 124.987091064,0.8307302826146229,0.17389351575216516,0.8771540367086157,1.4511308095211866e-06,0.4118305981545311
