,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/Alternative&Punk/3rd_Lane-Nightmare_of_Realitymp3,0.0, G, major,0.0, 128.198013306,0.0,0.0,0.0,0.0
1,music/Rock&Pop/Selina_Hebe_Ella-03_He_Still_Dont_Understandmp3,0.20732831599919863, A, major,0.33523945675482486, 128.385238647,0.06861654702141605,0.09651252725376233,2.596401150824272e-06,0.14153988868607054
2,music/Religious/Schevenings_Gospel_Choir-Im_safemp3,0.23659252474591622, D, major,0.33952823445318087, 128.01663208,0.06074465355522242,0.1594674954174549,1.129080667807738e-06,0.15926680745048843
3,music/R&B&Soul/MBD_Music_By_Dezign-Believe_Memp3,0.22412977263076847, C, major,0.3273766976411723, 128.062164307,0.07749933016488288,0.18338395838148216,5.502555629880807e-07,0.16247806181477376
4,music/R&B&Soul/Groove_Generator-Gonna_Love_Ya_Babymp3,0.24948362307283264, E, major,0.3538241601143674, 128.184509277,0.07356536076991428,0.13828610978298486,1.630799497308461e-06,0.1630321769079193
5,music/Country/TROUBADOUR_TUNES-BETWEEN_AUSTIN_AND_SAN_ANTONIOmp3,0.22369383756422404, G, major,0.32308791994281627, 128.887207031,0.14619030331042354,0.15192877561160725,3.0436605903868816e-06,0.16898077601793227
6,music/Country/Jim__Wilson-Simple_Thingsmp3,0.1933710728569342, A, major,0.2694781987133667, 128.737136841,0.14755493783274154,0.23538574697013978,5.203864167852422e-07,0.16915809535191978
7,music/Rock&Pop/Code_Lyoko-A_World_Without_Dangermp3,0.23728427117888662, D, major,0.3073624017155111, 128.137069702,0.17365535961441717,0.14994010184520556,9.728510206205728e-07,0.1736486214410082
8,music/Religious/Sum_of_One-Three_Daysmp3,0.23421998090108453, C, major,0.25017869907076484, 127.05557251,0.25418713805566673,0.14347163101921429,1.2996492736147885e-06,0.17641174973920082
9,music/R&B&Soul/Squeak-Something_Specialmp3,0.27807711097834087, F, major,0.2816297355253753, 129.415802002,0.20917536611345772,0.12686651332412952,2.5555760679676634e-06,0.17915025630347428
10,music/Alternative&Punk/The_Faint-Some_Incriminating_Photographsmp3,0.22304434319622565, G, major,0.29592566118656183, 128.870697021,0.25805230112961197,0.12959804445466186,9.676161379692298e-07,0.18132426351663986
11,music/R&B&Soul/Kelly_Rose-Get_outmp3,0.2785313262568304, G, minor,0.33666904932094355, 128.597671509,0.1767784185432562,0.13663075834447125,2.103839245405908e-06,0.18572233126094936
12,music/Electronic&Dance/Morcheeba-Lighten_Upmp3,0.2199806555627734, G, major,0.3059328091493924, 129.838821411,0.2919702285411824,0.13025337795837577,7.710261886434723e-07,0.18962756844758252
13,music/Country/The_Wakefields-And_I_Crymp3,0.2527327912450686, G, major,0.29878484631879915, 129.341247559,0.21072728956202622,0.18729284796874127,7.005502612456813e-07,0.1899076951289793
14,music/World/The_Forgotton_Celts-Holy_Groundmp3,0.28835496484306783, C, major,0.31236597569692637, 129.248855591,0.21508645288119926,0.14184752281693747,1.3872808082281747e-06,0.19153126070378784
15,music/Childrens's/Terry_Grosvenor-Twenty_Froggies_Went_to_Schoolmp3,0.2724499528419636, A#, major,0.24588992137240887, 129.843795776,0.31635258001312927,0.12473763222329151,1.2285516017180888e-06,0.19188626300047898
16,music/Comedy&SpokenWord/Dr_Desi-Lost_in_Sohomp3,0.36000236950830294, E, minor,0.37026447462473194, 128.12979126,0.12779267001071232,0.10608676529991265,1.5670063468080812e-06,0.19282956929000133
17,music/Reggae/Taj_Weekes__Adowa-Lifemp3,0.3208093272560594, A#, minor,0.29878484631879915, 129.094039917,0.2005917633743745,0.14876036906556842,8.877990661566118e-07,0.19378943876277352
18,music/Childrens's/Mike_Lewis-Be_An_Earthbuddymp3,0.3230966304056305, C, minor,0.3080771979985704, 128.658035278,0.19502984866015316,0.15397269059902638,2.319793636035215e-06,0.19603573749140332
19,music/Blues/The_Milkshake_Duo-american_girlsmp3,0.24950674675973758, G, major,0.29664045746962114, 129.221725464,0.35311081015485174,0.09970229251576734,1.778972715401457e-06,0.1997924171745386
20,music/Reggae/Dubistry-Roll_Awaymp3,0.27699906951712383, G, major,0.28806290207290924, 129.005554199,0.2252247290510644,0.20901223683229048,2.0171675587129512e-06,0.19986019092818935
21,music/Alternative&Punk/Alkaline_Trio-Trouble_Breathingmp3,0.20671500261235165, E, major,0.3380986418870622, 128.264480591,0.1867458552217621,0.2723966109750376,1.4531499287729199e-06,0.20079151276922844
22,music/Country/Bernard_Glansbeek-T-Ridemp3,0.29706708172643054, C, major,0.3259471050750536, 128.029846191,0.11641160371393929,0.26634818130941157,2.026556842624497e-06,0.20115519967633552
23,music/Country/Isabelle-Richest_Folks_In_Townmp3,0.24220658094772476, B, major,0.2894924946390279, 129.259216309,0.23500147086204626,0.2405583877593362,7.103258982243077e-07,0.20145192890680663
24,music/Reggae/Stick__Figure-Feelin_In_The_Moodmp3,0.28217366406693334, F#, minor,0.315939957112223, 128.990814209,0.20391323730429084,0.21085819646839338,1.7134415762837328e-06,0.20257735367868338
25,music/Alternative&Punk/Jens_Lekman-Black_Cabmp3,0.24977117370835014, A, major,0.315939957112223, 129.897857666,0.29568780082660934,0.15385882500159986,1.9940383801173325e-06,0.20305195013743246
26,music/Childrens's/Steve_Bradshaw-If_Jesus_Says_Domp3,0.3255843909220869, G, major,0.318084345961401, 126.778396606,0.23168035014085459,0.14167748868782892,1.6699014786826778e-06,0.20340564912273001
27,music/Rock&Pop/The_Iguanas-Flame_Onmp3,0.20449171368483005, C, major,0.3538241601143674, 128.071426392,0.1750272349155907,0.2889689161389148,1.6748533534531033e-06,0.20446273994141126
