,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/Childrens's/Vili-Letacki_Konjmp3,0.0, C, major,0.0, 125.478553772,0.0,0.0,0.0,0.0
1,music/Childrens's/Vili-Flying_Horsemp3,0.17553726011484938, C, major,0.03650990099009901, 125.383918762,0.04649736016205732,0.10384032371090528,5.938983510009437e-07,0.07247708777525239
2,music/EasyListening&Vocals/CLASSICAL_GAS-Forever_Youngmp3,0.20995788693086612, C, major,0.11757425742574257, 125.000144958,0.11418442664058266,0.06991449845570707,2.3920402687275095e-06,0.10232669229863345
3,music/Soundtracks&More/Patrick_Kirst-Leaving_Homemp3,0.21163156294554605, B, major,0.10457920792079207, 124.839179993,0.12306236644215561,0.07459033748008066,2.840251258735534e-06,0.10277326300796663
4,music/Religious/Mike_Shaw-Belongmp3,0.23638030702206023, F, major,0.21287128712871287, 126.003929138,0.11748350416641354,0.07312211432890002,1.841046430756403e-06,0.12797181073850347
5,music/Latin/Cruzmonty-SI_no_te_me_fuerasmp3,0.19338191510881142, A, major,0.2438118811881188, 125.170829773,0.06362385065333001,0.17249844511203904,1.6618073040464434e-06,0.13466355077392067
6,music/Country/Charlie__Nottingham-Whos_foolin_whomp3,0.19582107053562597, D, major,0.1311881188118812, 124.37638855,0.15919429937099122,0.20076385868596797,1.0123265619674643e-05,0.1373954941340172
7,music/Blues/Jimmy_D_Lane_and_Double_Trouble-What_Makes_Peoplemp3,0.19268426350155904, B, major,0.2004950495049505, 125.363121033,0.05002525201429999,0.25635019483054805,4.303127364207135e-06,0.13991181259574434
8,music/Childrens's/Kids_For_Kids-I_Can_See_Gods_Love_In_Everyonemp3,0.3305838278813996, C, major,0.1188118811881188, 124.816940308,0.13327993652829723,0.1308784309216889,3.795469294900934e-06,0.1427115743977599
9,music/Rock&Pop/Jenny_Lewis-The_Big_Gunsmp3,0.1940101108810614, D, major,0.12933168316831684, 124.673789978,0.15425671096951019,0.26088682070572256,2.297655666787261e-06,0.14769752467605557
10,music/Soundtracks&More/Beoulve-Firefliesmp3,0.29665865133170827, A#, major,0.12561881188118812, 126.440544128,0.22900792285213706,0.09302707724756942,1.6472260163956527e-05,0.1488657871145534
11,music/World/The_Forgotton_Celts-Leaving_of_Liverpoolmp3,0.1581431217558956, D#, major,0.19492574257425743, 125.527557373,0.07726504777196669,0.31636247807329965,4.147150231806009e-06,0.14934010746513024
12,music/Blues/Bobby_Manriquez-How_We_Startmp3,0.3353263203222523, D#, major,0.21287128712871287, 125.187644958,0.0834099700357459,0.1306029707970019,5.150005083019948e-06,0.15244313965775919
13,music/Childrens's/Kids_for_Christmas-Color_Your_Christmas_With_Lovemp3,0.35400151488202686, C, major,0.10952970297029703, 124.375,0.1321189312599869,0.16759268931652965,3.87610181261741e-06,0.15264934290613058
