,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/Country/Jim_Stringer-I_Want_To_Be_In_Your_Dreamsmp3,0.0, A, major,0.0, 166.430786133,0.0,0.0,0.0,0.0
1,music/Country/Cletus_and_the_Burners-When_Im_Gonemp3,0.23234451511966125, C, major,0.24365133836650651, 166.306228638,0.09455744746833017,0.03482804148940995,9.949495535819498e-07,0.12107646747869232
2,music/Country/Eddie_G-Ninety_To_Nothinmp3,0.17157286532755578, E, major,0.20315717227179136, 166.468582153,0.09039528983324963,0.14260450153438595,7.986199984329416e-07,0.12154612551739623
3,music/Country/Eddie_G-Try_Try_Againmp3,0.1630394056694917, A, major,0.2354152367879204, 166.596343994,0.08735543928586895,0.12765555205574353,1.0449878949508102e-06,0.12269333575738392
4,music/Religious/Jacob_Swann-Live_2_diemp3,0.20636257374252695, A#, minor,0.2704186684969115, 172.265609741,0.09006432401112831,0.0647253947323152,1.2758051774955958e-06,0.12631444735761188
5,music/Alternative&Punk/Hawthorne_Heights-Saying_Sorrymp3,0.18613558873524774, A, major,0.26904598490048043, 166.281570435,0.1019418598747294,0.07645647421204708,1.4822400745460377e-06,0.12671627799251584
6,music/Country/Grandma-Grandmamp3,0.25541135797080844, A, major,0.23198352779684284, 166.218887329,0.061710145843734805,0.12408410393633719,1.4038258862231232e-06,0.1346381078747219
7,music/Religious/Jeff_Scott_Band-All_These_Daysmp3,0.1941461546491353, C, major,0.26286890871654084, 172.265563965,0.09522224133133492,0.12397669594345578,1.2309982364820294e-06,0.13524304632774065
8,music/Religious/Chosen_Witness-Somebodys_Been_Praying_For_Memp3,0.19292134030224287, D#, major,0.3061084420041181, 172.265289307,0.14671192041936731,0.05034026187513586,1.4776230678620246e-06,0.1392166884447864
9,music/Folk/Hezekiah_Jones-Nothings_Boundmp3,0.26451573825435604, A#, major,0.2621825669183253, 172.265731812,0.15494498068873447,0.06737192213831941,2.4907735282376733e-06,0.14980353975465271
10,music/Alternative&Punk/Fresno-Onde_Estmp3,0.21976226693753026, D, major,0.24021962937542896, 172.265914917,0.21706589225812137,0.08249302821372664,3.586312399204845e-06,0.15190888061944127
11,music/EasyListening&Vocals/Timeless-In_the_Good_Old_Summer_Timemp3,0.32529665620356524, G, major,0.21002059025394645, 172.265960693,0.11823895395113122,0.11598918859993212,3.259596873225283e-06,0.15390972972108966
12,music/Alternative&Punk/The_Faint-Worked_Up_So_Sexualmp3,0.27169601475688215, D, major,0.23953328757721346, 165.223342896,0.1938972891552771,0.09317966331345,1.287022004226323e-06,0.15966150836496537
13,music/Alternative&Punk/The_Butchies-Troublemp3,0.2377022402091532, G, major,0.2786547700754976, 166.061721802,0.23623678463819814,0.05013464158391791,2.1111346274441696e-06,0.16054610952827889
14,music/EasyListening&Vocals/Janet_Murphy-Meet_Me_At_Midnightmp3,0.2537641175619012, D#, major,0.335621139327385, 172.265396118,0.10003302751562895,0.13479977592804676,1.0674505555239067e-06,0.16484382555670346
15,music/Comedy&SpokenWord/Tales_2_Tell-Goddess_Dancemp3,0.23806566365804174, G#, major,0.3177762525737817, 172.265213013,0.12599004146981654,0.14641886585760627,1.9826151480387316e-06,0.16565056123487887
16,music/Alternative&Punk/Armor_For_Sleep-My_Townmp3,0.21143903227982058, A#, major,0.2786547700754976, 172.265274048,0.3180357115301621,0.04148982534272818,3.855199821172259e-06,0.1699246388856059
17,music/EasyListening&Vocals/John_Rhyman-Wishing_you_were_heremp3,0.2835439843324113, A, major,0.25669183253260125, 166.654495239,0.28057917369984336,0.030865167513789142,1.03484994935359e-06,0.17033623858571886
18,music/R&B&Soul/Monique_Duarte-Tell_Me_Babymp3,0.44573520864415134, C, major,0.30061770761839396, 172.265365601,0.05238710911425032,0.06193718928489327,5.009529192636159e-06,0.1721364448381763
19,music/Country/Steel_Creek_Band-High_Mountain_Meadowmp3,0.24129744748724474, G, major,0.2299245024021963, 164.818618774,0.35525844342090396,0.03488987011411328,1.0150472860348997e-06,0.17227425569434887
20,music/Reggae/Stick__Figure-Bring_Downmp3,0.3073212427019975, A, minor,0.26835964310226496, 172.265472412,0.10849660839521118,0.17965155208337133,1.5723544672722595e-06,0.17276612372746245
21,music/Religious/Jacob_Swann-What_Ifmp3,0.2511022555880651, D, minor,0.23953328757721346, 164.497848511,0.3325786699493412,0.04439894725017293,1.8022264945124414e-06,0.17352299251825745
22,music/Reggae/Third_Eye_Reggae_Band-Concrete_Junglemp3,0.2801292430009842, F, major,0.33013040494166096, 166.341903687,0.1892251774700077,0.08368613903720735,2.621979095945732e-06,0.17663471728579122
23,music/Latin/Flatirons_Jazz_Quintet-Blue_Bossamp3,0.28958630726980067, G#, major,0.32807137954701443, 172.265411377,0.18793812480368913,0.08327978544921513,4.393062722552266e-06,0.17777599802648839
24,music/Blues/Doyle_Bramhall-Thats_How_Strong_My_Love_ismp3,0.2871807533347108, A#, major,0.2868908716540837, 165.455169678,0.27530029652586374,0.04036995834847216,8.941957227965257e-07,0.17794855481177063
25,music/Soundtracks&More/Kai_Hartwig-In_the_beginningmp3,0.35621293005645094, D, minor,0.21482498284145504, 172.265609741,0.12361499722987002,0.20180200100919693,2.7426720823157453e-06,0.17929153076181106
26,music/Rock&Pop/Black_Dahlia_Murder-Contagionmp3,0.26242721328531793, C, minor,0.2601235415236788, 165.480438232,0.3158715505908366,0.08154447888218928,4.686922708776406e-06,0.1839942942409463
27,music/NewAge/Catherine_Duc-Essence_of_Dreamsmp3,0.3159107730996197, C, minor,0.3520933424845573, 172.265182495,0.23131849725052778,0.03212687952177306,1.7068736681927177e-06,0.1862902398460292
28,music/Childrens's/Cab_City_Combo-Days_of_the_Weakmp3,0.32242988526386646, F#, major,0.21551132463967054, 164.727111816,0.24218014456444745,0.1530994361320651,5.317354620171519e-06,0.18664522159093394
29,music/Religious/Chosen_Sons-Overflowmp3,0.31339052169307213, C, major,0.19080301990391216, 172.265640259,0.40428389526569103,0.029635911257654336,1.3923000854487176e-06,0.18762294808408303
30,music/Childrens's/Ninos_De_La_Paz-Caminando_Con_Diosmp3,0.2928759123711318, A, major,0.213452299245024, 166.337265015,0.35840118451056807,0.07362698587906213,1.544000151242359e-06,0.18767158520118749
