,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/R&B&Soul/Mary_Bourdon-Let_me_be_your_Womanmp3,0.0, D, major,0.0, 172.265594482,0.0,0.0,0.0,0.0
1,music/NewAge/soundofspirit-I_want_to_sharemp3,0.08734438748172733, C#, minor,0.2606105733432614, 172.265289307,0.17653412309659658,0.05861419637549321,5.487710114798694e-06,0.11662175360143864
2,music/EasyListening&Vocals/Fujiyama-Geisha-Oriental_Dreammp3,0.07636602956685445, A, minor,0.31571109456440805, 172.265731812,0.19393022880053293,0.03652153576636471,5.4535121944968945e-06,0.12450686844207093
3,music/NewAge/David_Nevue-One_Night_at_Mozartsmp3,0.12250562644012272, E, major,0.20178704393149666, 172.265411377,0.19667154665598865,0.10315237456648378,8.710825703408043e-05,0.12484073997022518
4,music/Blues/Greg_Burgess-Itsy_Bitsy_Spider_Bluesmp3,0.07463473988443349, G, major,0.27922561429635145, 163.956222534,0.22874778393741557,0.05468516154805352,3.248022607122596e-06,0.12745930953777224
5,music/Jazz/Ivan_Smirnov-Remembrancemp3,0.087570797250693, C, major,0.2926284437825763, 128.922454834,0.21317031424148036,0.053394280561385954,4.28658952781013e-06,0.12935362448513268
6,music/World/Celtic_Shores-The_Unionmp3,0.11574800200275702, D, major,0.1913626209977662, 143.906784058,0.28424249179774286,0.061138631314121304,5.181688285244521e-06,0.13049938556013452
7,music/Soundtracks&More/Bah__the_Humbugs-Christmas_Tree_from_Hellmp3,0.08412354629735906, G, major,0.2881608339538347, 133.51260376,0.21501609600700466,0.0673899725745758,3.341381778396947e-06,0.13093875804291052
8,music/Soundtracks&More/Da_Vinci_Code-Winds_of_Changemp3,0.16937681012220687, C, major,0.2486969471332837, 172.265441895,0.16091650420538672,0.07848788012969565,1.4543730828581884e-05,0.13149853706428033
9,music/Folk/Neil_Speers-Cry_For_Yoump3,0.1309797124102472, C, major,0.2457185405807893, 184.570144653,0.22101601481480798,0.07466483092619855,6.974835170793521e-06,0.13447721471344276
10,music/Religious/pat_francis-breathingmp3,0.09458921838778371, D, major,0.3060312732688012, 184.570495605,0.20265919725367396,0.07493380040568666,1.4746093474219617e-05,0.13564564708188395
11,music/Blues/Greg_Bowles-New_Millennium_Bluesmp3,0.0973346553974931, E, major,0.24944154877140728, 172.266082764,0.2790554464279124,0.0596415566198262,5.052645850962433e-06,0.137095651972498
12,music/EasyListening&Vocals/John_Worsley-Morning_Amber_Skiesmp3,0.12005552848205364, C#, minor,0.28071481757259864, 178.205795288,0.18362122733076963,0.11120468572264841,2.7117183573419078e-05,0.13912467525832875
13,music/EasyListening&Vocals/John_Worsley-Dawnmp3,0.1321118486794758, B, major,0.3104988830975428, 172.265869141,0.16916555642488615,0.09338687967323155,2.1933249132269236e-05,0.1410370202248537
14,music/Comedy&SpokenWord/Tony_George-Bachelorette_Partiesmp3,0.07990621751454995, F#, minor,0.3149664929262844, 125.527687073,0.24216426104029348,0.07039343947450534,6.028997131455842e-06,0.14148728799055293
15,music/Soundtracks&More/Two_Harps-Joy_To_The_Worldmp3,0.11382198418263353, C, major,0.2874162323157111, 89.6538848877,0.228621512195437,0.07901739831307097,1.5665232816254577e-05,0.1417785584479338
