,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Alternative&Punk/CocoRosie-By_Your_Sidemp3, E, major, 128.346359253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Reggae/Wood_In_Di_Fire-Get_Downmp3, B, major, 128.622024536,0.3776070040959513,0.2677592133136487,0.11364424284023902,0.2619207521826729,0.9433066703399623,0.07314982809057338,0.22101036738024035,0.06984147759837951,0.29102994448020847
2,music/R&B&Soul/Kedash-Stay_With_Memp3, G#, major, 125.984184265,0.3573556459596762,0.13975966464662484,0.3603295004280843,0.2686366689053056,0.9458666828790825,0.04267775181092237,0.16222532123347908,0.1020682747590313,0.29736493882777576
3,music/Blues/Pat_Coast-The_Dangerous_Kindmp3, F, major, 123.95287323,0.24264768116302807,0.14950972895450712,0.27466155691332006,0.39153794492948285,0.965919927838834,0.07888680283109216,0.26469444010627763,0.0751165921797956,0.3053718343645422
4,music/Reggae/Stick__Figure-Let_The_Music_Playmp3, D, minor, 126.221389771,0.3965176275269377,0.2823774332352268,0.14507730414847925,0.26595030221625254,0.9447337128084341,0.10585608626960376,0.27735673050962445,0.05288820157365543,0.30884467478602673
5,music/Rock&Pop/Selina_Hebe_Ella-10_The_Journey_We_Startedmp3, G, major, 126.02129364,0.292366670943256,0.14064747219830182,0.511103201907481,0.23438549361987912,0.9349498153897351,0.05241313355105217,0.17890563808574292,0.16786879529526255,0.3140800276238388
6,music/Rock&Pop/Selina_Hebe_Ella-03_He_Still_Dont_Understandmp3, A, major, 128.385238647,0.3290866880623795,0.22478522182033672,0.2500595336596175,0.27468099395567497,0.9027471109729657,0.09562242411953839,0.22509770867257264,0.21380316667985766,0.3144853559928678
7,music/Childrens's/Kids_for_Christmas-Color_Your_Christmas_With_Lovemp3, C, major, 124.375,0.334373533911758,0.23135615013478744,0.2767875712391737,0.25386165211551376,0.9595624703182128,0.09072248731787232,0.28220591425592967,0.09992076306395142,0.31609881779464993
8,music/Religious/The_RockBilly_Rogers-I_Go_To_The_Rockmp3, C, major, 124.114852905,0.3093681961537504,0.21351796985832117,0.30723124429480275,0.23169912693082606,0.9582178140746904,0.11034850851448834,0.3204455507150676,0.07863749830592712,0.31618323860598424
9,music/Religious/Anne_Brehm-He_Held_Onmp3, G, minor, 129.672775269,0.31366600092297736,0.21920569310125912,0.30048846039678234,0.2552048354600403,0.9466356629097292,0.08739734919198451,0.3171062221584077,0.09665070283238994,0.31704436587169627
10,music/Country/Ronnie_Parker-She_Wouldnt_Be_Heremp3, G, major, 125.54447937,0.2752602815272403,0.21985230532433025,0.3595688164032376,0.24983210208193418,0.9691772499027543,0.07296915007154399,0.2614903490319582,0.13332626562677413,0.3176845649962216
