,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Alternative&Punk/Cursive-The_Reclusemp3, A#, major, 96.0879364014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Religious/Assumption_Church_choir-Glory_To_Godmp3, D#, major, 96.0135345459,0.17832750507979145,0.11314984119938136,0.1065514130642988,0.128125,0.8329024677391976,0.08023729875339926,0.17015000361189048,0.2426663170034546,0.2315137308064267
2,music/Alternative&Punk/Bright_Eyes-From_a_Balance_Beammp3, D, major, 96.4005050659,0.21265339497128893,0.17055974326367207,0.16952146026364961,0.173125,0.9645910246734228,0.0439237312028331,0.1172297411020448,0.09698461189433229,0.24357358842140547
3,music/Blues/Left_Tail_Light_Band-Tsunami_Bluesmp3, C, major, 96.1953582764,0.22187933577578461,0.18058523719176536,0.1391755906807984,0.141875,0.9289999128759392,0.03615292203711156,0.1451926506463102,0.17357849359709648,0.2459298928506007
4,music/Rock&Pop/Playtone-Sleep_On_Sundaymp3, A, major, 96.5415496826,0.2553566408234866,0.2169598323113746,0.09696165898347303,0.1675,0.9283176181928032,0.041417156568739476,0.160840221175538,0.10617410423877412,0.24669090403677363
5,music/Childrens's/Mike_Burn_-_UK-If_you_have_faith_as_small_as_a_mustard_seedmp3, D, major, 96.0655899048,0.2719762445625077,0.24427737755857082,0.12769475080356787,0.133125,0.8991912170255519,0.03697035599177501,0.13490481552193972,0.15799036124959803,0.25076626533918894
6,music/Rock&Pop/Cabala-Libertadmp3, E, major, 95.0137939453,0.18039949169025044,0.15483301711787859,0.3307229225826429,0.170625,0.8939777672522511,0.01701042149471899,0.17826328379636563,0.10710768164763361,0.25411744819771764
7,music/Rock&Pop/Victoria_Robertson-Cloudsmp3, G, major, 96.9777908325,0.20945618339325633,0.22001724293426933,0.28077343596791304,0.151875,0.9454390716727574,0.016891161254965807,0.10468671738243217,0.1049377144980469,0.2542595658879551
8,music/Country/Terry-Lovers_Moonmp3, D, major, 96.2132644653,0.22722199916922173,0.256101008123256,0.1304257083916967,0.133125,0.9385263075670417,0.038533461174747,0.17259969496058306,0.1380234617346717,0.2543195801401522
9,music/Country/TROUBADOUR_TUNES-ON_PAPERmp3, A, major, 96.2277984619,0.19455322986185025,0.2190086503003516,0.08422189522160572,0.1725,0.9131863453276357,0.01902020210107453,0.16972133432086814,0.2926879912578184,0.25811245604890054
10,music/Religious/Loose_End-Left_Behindmp3, D, major, 95.0903930664,0.17409208222110237,0.15924248768972507,0.3046401040434846,0.13375,0.9315607376552506,0.056604342753066104,0.21702886661572726,0.09522878001537818,0.25901842512421674
