,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Country/Eddie_G-Dear_Mammamp3, D, major, 92.0272598267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Childrens's/Ninos_De_La_Paz-Gloriosa_Luzmp3, G, major, 91.942527771,0.19197705753020072,0.11008648845168094,0.10943867785372056,0.15204678362573099,0.8070208400346909,0.04579332470444628,0.2636903227170731,0.058993158738305525,0.2173808317069811
2,music/Rock&Pop/American_Music_Club-Another_Morningmp3, E, major, 91.9775848389,0.15701836045805134,0.1669198072626062,0.10395013370015131,0.13775178687459388,0.9575830981503257,0.03417813472919005,0.21885672539752965,0.03295652702581203,0.22615182169978254
3,music/Soundtracks&More/Dean_Krippaehne-Poolside_Yuletidemp3, F, major, 91.9211883545,0.16130007111703087,0.14196505207535226,0.09851973689224813,0.1539961013645224,0.9394794746660106,0.032263907414807697,0.21188869230067647,0.08908279550664087,0.22856197891716118
4,music/Religious/SetApart-Draw_Memp3, C#, major, 92.0906448364,0.14252448887636965,0.13782404583605837,0.1294475637589615,0.27680311890838205,0.931144617940558,0.04082965520379411,0.13968362943215518,0.03553082938831247,0.2292234936680739
5,music/Country/TROUBADOUR_TUNES-TONIGHT_WERE_CALLING_IT_A_DAYmp3, G, major, 92.6376953125,0.17508690520717873,0.15416317377713812,0.2331310580578667,0.13775178687459388,0.9132134447961492,0.0355558038225801,0.14914297072732896,0.08153917688545677,0.23494804001853659
6,music/Rock&Pop/Cabala-Por_ultima_vezmp3, G#, major, 92.7789077759,0.16742025433886773,0.15301703862393007,0.30125629769733714,0.17089018843404807,0.8949321027758013,0.013518309875533768,0.12435940925420688,0.08984301310789788,0.23940457676345284
7,music/Religious/Randy_Vild-Glorifiedmp3, C, major, 92.9845962524,0.15637075002856327,0.14620691393486818,0.2841351785610667,0.14489928525016244,0.8949646711012689,0.032564334185003645,0.18789994006337754,0.0688569439610741,0.23948725213567312
8,music/Religious/Randy_Vild-Pass_Over_Memp3, G, major, 92.9769897461,0.16032317898095558,0.11892819787598932,0.3726187852142358,0.1949317738791423,0.9070197851008914,0.0261380934957102,0.12876527974881102,0.018911831147688376,0.240954615680428
9,music/Religious/Anne_Brehm-Be_Still_And_Knowmp3, B, major, 91.9765853882,0.22042934637398015,0.22996433496885696,0.06765640245020911,0.2189733593242365,0.9635616929358165,0.04213311634359255,0.15550787210698164,0.030983901859802657,0.2411512532954345
10,music/Religious/Assumption_Church_choir-Gospel_Acclamationmp3, D#, major, 91.9338912964,0.2428219682487254,0.23779476732598398,0.0594162916019964,0.1267056530214425,0.8753547607980741,0.10829610254162181,0.19495728047095062,0.11201284978088255,0.24466995922370968
11,music/Blues/Blues_Allstars-Stiks_Chicago_Bluesmp3, A, minor, 92.2849884033,0.18642766116175408,0.10895335669604866,0.14915814838221952,0.20012995451591942,0.936009424364011,0.04911595377817484,0.21462566529404484,0.1293508805339638,0.24672138059076704
12,music/Country/Jim_Stringer-In_My_Handmp3, E, major, 91.429725647,0.2782539339737856,0.23053015803384622,0.17683444300444814,0.14359974009096815,0.9506109095379204,0.03448024534376207,0.13972900680134878,0.02275552255919356,0.24709924491815913
13,music/Blues/Hitman_Blues_Band-1000_Feet_Aheadmp3, A, major, 92.0300064087,0.28129405878405267,0.2656364436992947,0.0746612553495558,0.1254061078622482,0.9399435428567062,0.05466563235320452,0.19350191788736512,0.06553028694448859,0.25007990571711447
14,music/Childrens's/Kids_for_Christmas-Heavenly_Lightmp3, D, major, 91.8885574341,0.19423738283463055,0.18239546954283795,0.11840612275861831,0.1299545159194282,0.9055677264551127,0.08879882186315298,0.34049135990399243,0.047036734727054545,0.25086101675060346
15,music/Childrens's/Vili-Bellsmp3, A, major, 91.8727493286,0.26595440513124075,0.2705613428186358,0.08800345756629649,0.12150747238466536,0.9298459231432861,0.04719844924029976,0.19011801350177635,0.09853527726178339,0.251465542630998
