,id,key,scale,bpm,scaled_rp,scaled_rh,scaled_bh,scaled_notes,scaled_chroma,scaled_skl,scaled_js,scaled_mfcc,aggregated
0,music/Hip-Hop/Es-Yoump3, D, major, 102.814422607,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,music/R&B&Soul/MBD_Music_By_Dezign-The_Spotmp3, G, major, 103.007461548,0.34000903016814077,0.18854075835118753,0.15956099250743114,0.2260362694300518,0.9291745819965582,0.03803988439575086,0.09226315788001757,0.17131419634712775,0.26811735888453314
2,music/Reggae/Wes_Nyle_Productions-AINT_NO_DOUBT_BY_CHIEF__TINAmp3, A#, major, 104.057563782,0.40513115173216735,0.2876181828041381,0.2475594559716081,0.18652849740932642,0.8688900231530061,0.023875261501074694,0.1707148067551577,0.09193497252119494,0.2852815439809592
3,music/Latin/Babalu-Rumbamp3, C, major, 102.45123291,0.37928662789744294,0.24905050404429707,0.17920456975421728,0.18588082901554404,0.9476440996935138,0.02694050674456051,0.1765016540472603,0.1602572294571247,0.2880957525817451
4,music/Reggae/Wes_Nyle_Productions-ON_TONIGHT_BY_OMEIL__TWIIN_TOUCHmp3, A#, major, 104.003257751,0.4276586354197258,0.28939166980494724,0.17124905634036883,0.18393782383419688,0.8796154555136771,0.055062274273036775,0.19099748865872493,0.13382979199665385,0.2914677744801664
5,music/Latin/Anna_Canario-Morena__Sambamp3, A, minor, 102.769584656,0.39882391656616584,0.36019696219705266,0.18301004827678005,0.20854922279792745,0.968556634804891,0.021409453562571575,0.151456560693582,0.1543352630425363,0.30579225774268837
6,music/Country/Brian_Priebe-Poor_Valley_Wildflowermp3, D, major, 103.960166931,0.40700287116860734,0.3630960861648833,0.1680578795628429,0.18523316062176165,0.9632118695156217,0.04458636389516489,0.22929145571797296,0.08628094424821033,0.3058450788618831
7,music/Reggae/Wes_Nyle_Productions-WATTS_GOOD_BY_CHIEFmp3, D, minor, 103.973312378,0.4501434466247371,0.3460887105017694,0.17697740749871224,0.18976683937823835,0.9570608565830008,0.06033845459548243,0.20609638451994297,0.07529598780591605,0.3077210109384749
8,music/Reggae/Buju_Banton-No_More_Misty_Days_Ft_Rancidmp3, D, major, 103.850517273,0.3729324576592075,0.34710198505354917,0.1626725464652686,0.21178756476683938,0.9128886962919378,0.1089062083401836,0.12579941819570395,0.25954146720752214,0.31270379299752654
9,music/R&B&Soul/Tequila-Whos_Gonna_Luv_Ump3, A, minor, 102.026069641,0.43993060783504045,0.3443187755267319,0.18604328390007388,0.20401554404145078,0.9203991536823057,0.055461951999771684,0.18964674252926442,0.20168595773061568,0.31768775215565687
