,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/Latin/La_Preferencia-Ya_No_Me_Digasmp3,0.0, G, major,0.0, 88.0770797729,0.0,0.0,1.2107658537151267e-07,2.4215317074302535e-08
1,music/Latin/La_Preferencia-Sueno_de_Amormp3,0.3707491273611817, C, minor,0.14093529788597053, 88.402557373,0.1171652685204637,0.053392161646765905,1.0095781926733998e-06,0.1364485729985149
2,music/Religious/Children_of_God-Bow_ya_headmp3,0.4655089090292092, D, minor,0.13452914798206278, 87.9764633179,0.07474334999165493,0.07135928762004284,2.179397913910769e-06,0.14922857480417673
3,music/R&B&Soul/JW-Feelin_Yoump3,0.34673907969668993, C#, major,0.15438821268417682, 88.0156936646,0.20420629193815842,0.045428339661057866,1.2818152954912546e-06,0.1501526411590757
4,music/Folk/The_Love_Bus-To_Bemp3,0.4307150988928916, A#, major,0.1262011531069827, 87.6600036621,0.20269235867136426,0.04905228154799594,1.261357428892274e-06,0.16173243071533266
5,music/Reggae/Finks_Constant-Gamesmp3,0.4138269630020405, D#, major,0.133888532991672, 87.8592605591,0.1797897180983523,0.08651825151537626,8.581148773818508e-07,0.1628048647444637
6,music/Country/Split_Lip_Rayfield-Should_Have_Seen_it_Comingmp3,0.4053042862477605, A, major,0.13068545803971812, 88.611946106,0.15292198578762986,0.13677512810422085,2.5599315089825677e-06,0.16513788362216766
7,music/Rock&Pop/Davey_Ray_Moor-In_Too_Deepmp3,0.4574827065251378, G, major,0.15310698270339526, 88.5856552124,0.1777286841434423,0.04154689201339234,1.6514447185465804e-06,0.16597338336601725
8,music/EasyListening&Vocals/Tiki_King_and_the_Idol_Pleasures-Well_dancemp3,0.3722925227578869, C, major,0.15631005765534914, 87.6459197998,0.23075938426625192,0.0904779605358154,1.9996290262259265e-06,0.16996838496886593
9,music/Rock&Pop/The_String_Cheese_Incident-Sometimes_A_Rivermp3,0.4099687639388816, A#, major,0.1441383728379244, 87.9026489258,0.1555028224832123,0.14367873978839185,2.0787694914940996e-06,0.17065815556358035
10,music/Reggae/RASTABOYZ-VanCity_Slugmp3,0.48858433384556793, A#, major,0.1108263933376041, 87.4602050781,0.19315264721585848,0.06172376614939458,1.6647103153009489e-06,0.17085776105174805
