,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/Rock&Pop/Dead_To_Fall-Eternal_Gates_of_Hellmp3,0.0, B, minor,0.0, 107.751060486,0.0,0.0,0.0,0.0
1,music/Alternative&Punk/The_Long_Winters-Ultimatummp3,0.13195057734624935, D, major,0.20076481835564053, 100.697570801,0.12836414879847974,0.08525010355204612,3.55015592482964e-06,0.10926663964166812
2,music/Soundtracks&More/One_Christmas_Eve-Keris_Lamentmp3,0.2272799413724967, C, minor,0.1727214786488209, 107.964691162,0.1236694298414713,0.05599146164993206,7.92027129444696e-06,0.11593404635680309
3,music/Comedy&SpokenWord/Caleb_Hawk-Incest_Puppymp3,0.16405093183177114, D, major,0.17463352453792225, 128.750366211,0.12659510059476697,0.13185279133871428,4.554446391642153e-06,0.11942738054991327
4,music/World/Andrei_Krylov-Mysticomp3,0.25158050148491223, D, minor,0.1752708731676227, 120.373519897,0.1310891724649203,0.044124934166919524,6.603392092530088e-06,0.12041441693529346
5,music/Comedy&SpokenWord/Tony_George-Bachelorette_Partiesmp3,0.19930610535691123, F#, minor,0.17973231357552583, 125.527687073,0.14337558393260125,0.08340868538721058,8.73369478188762e-06,0.12116628438940616
6,music/Classical/Andrei_Krylov-Portret_of_Soulmp3,0.2382372675974361, E, major,0.17463352453792225, 103.506530762,0.16552836385716027,0.030721165609913018,5.183792564812456e-06,0.12182510107899928
7,music/Comedy&SpokenWord/chuckie_steel-sinnermp3,0.1989591217221325, A, minor,0.17335882727852134, 85.4519805908,0.19679756458765565,0.047069706548540584,8.312942989783807e-06,0.12323870661596799
8,music/Classical/Michael_Pillitiere-Koyunbaba_Mvt_IVmp3,0.1930912661801092, C#, minor,0.19566602931803698, 111.567451477,0.20198181285809527,0.03624369920177169,1.0459933611430411e-05,0.1253986534983249
9,music/Comedy&SpokenWord/Roger_Flensing-Roger_Flensing_Speaks_of_Cynicsmp3,0.2115069889732514, F#, minor,0.16507329509241556, 129.130050659,0.1281998106684756,0.12247572766446291,6.326476980183928e-06,0.1254524297751171
10,music/Classical/Guitarist_-_Michael_Lancaster-Romanzamp3,0.2613635645139213, E, minor,0.18419375398342894, 107.462432861,0.13758570517826968,0.047316147858731755,1.0457366181038045e-05,0.12609392578010653
11,music/Childrens's/Jody_Paul-The_Fox_Went_Out_On_A_Chilly_Nightmp3,0.1930775953154048, G, major,0.1701720841300191, 102.984664917,0.21636866102482832,0.05657354942277826,5.084368870897215e-06,0.12723939485238028
12,music/Comedy&SpokenWord/Roger_Flensing-Roger_Flensing_Speaks_of_Lovemp3,0.2073381869459989, F#, minor,0.1727214786488209, 103.571815491,0.1405342257851338,0.1186971165609913,5.773476086923616e-06,0.12785935628340636
13,music/Classical/Paulo_de_Barcellos-Carinhosomp3,0.18773474369948295, G, major,0.17463352453792225, 135.595626831,0.20852731162650712,0.0701323582254783,6.577694463838985e-06,0.12820690315677088
14,music/World/Celtic_Shores-She_Moved_Through_the_Fairmp3,0.18998842846745675, A, major,0.27533460803059273, 103.600502014,0.12046298440377193,0.06356307503106562,7.2472562497522085e-06,0.12987126863782736
15,music/Comedy&SpokenWord/Roger_Flensing-Roger_Flensing_speaks_of_Literacymp3,0.19371589653274401, F#, minor,0.17335882727852134, 90.4912643433,0.17878356828679468,0.10401455229093323,5.756464971117025e-06,0.1299757201707929
16,music/Rock&Pop/MONOLITH-Root_Of_All_Hatredmp3,0.13746635472031887, F#, minor,0.19184193753983428, 110.689544678,0.25717164600021114,0.06446971095405137,8.944539621403923e-07,0.13019010873367556
17,music/Comedy&SpokenWord/Roger_Flensing-Roger_Flensing_Speaks_of_Hairmp3,0.206819463073371, F#, minor,0.17973231357552583, 111.3228302,0.15782003064534286,0.11065272794830919,5.972192201655326e-06,0.1310061014869501
