,id,scaled_rp,key,scale,scaled_levenshtein,bpm,scaled_bh,scaled_mfcc,scaled_skl,aggregated
0,music/Soundtracks&More/Iloyd_-_Wildlands-Wildlands_Overturemp3,0.0, C#, minor,0.0, 89.3269119263,0.0,0.0,0.0,0.0
1,music/R&B&Soul/BONNY_FERRER-Get_down-Saturdaymp3,0.24067588176483012, C, minor,0.1890201528839472, 88.9429244995,0.14179321961405716,0.1935783161818329,2.791307979898424e-06,0.15301407235052947
2,music/Religious/Jeff_Scott_Band-More_Than_Yoump3,0.3124620605522456, D, major,0.18971507991660877, 89.400894165,0.060593362239098926,0.2286623307028944,2.791795297505568e-06,0.15828712504122905
3,music/R&B&Soul/The_Grand_Central_Band-Crazy_Bout_Yoump3,0.24453722088329127, C, major,0.22585128561501042, 89.3988571167,0.121739372924604,0.21160442597799814,1.2013392710031047e-06,0.16074670134803495
4,music/Reggae/Third_Eye_Reggae_Band-Inna_De_Dubmp3,0.3892497480473574, C#, minor,0.1841556636553162, 89.1010360718,0.09414216858003803,0.15688677099781037,5.4575193051883385e-06,0.1648879617599654
5,music/Country/Terry-The_First_Time_I_Fell_In_Lovemp3,0.23237766162339724, A, minor,0.16052814454482278, 89.379776001,0.270484110652558,0.1666931098377998,5.3551918017148e-07,0.1660167124355516
6,music/Alternative&Punk/The_Hong_Kong-Mazeratimp3,0.2579042283770023, C, major,0.20083391243919388, 90.2874298096,0.2771118692263751,0.10584141887012746,3.978868844209628e-06,0.16833908155630856
7,music/Alternative&Punk/Less_Than_Jake-Look_What_Happenedmp3,0.2713169946049045, E, major,0.15149409312022238, 89.7636108398,0.24673638066930567,0.19522820889448592,1.2723878827744136e-06,0.17295538993536025
8,music/Reggae/Brother_Marcus__The_Irie_Connection-Spend_a_little_time_with_memp3,0.47033796595041105, F, minor,0.17859624739402363, 89.0340423584,0.12169610317475059,0.09851909661054357,3.4115721778622256e-06,0.17383056494038135
9,music/Alternative&Punk/From_First_To_Last-The_Levymp3,0.1567857175362896, C, minor,0.17373175816539263, 89.9048614502,0.38693744731271634,0.1689082701017719,1.7080855285922783e-06,0.1772729802403398
10,music/World/Benjamin_Barrile_-_Flamenco_Guitar-Tangosmp3,0.23687036714509774, C#, minor,0.16608756080611536, 88.7393875122,0.38463477649268346,0.09888502189843763,1.8219884260168234e-06,0.17729590966615202
11,music/Soundtracks&More/Polaris9-Fading_Darknessmp3,0.11973226917505005, C, minor,0.15774843641417652, 117.870796204,0.4599363089147753,0.1583091173875341,1.8798300789065654e-06,0.17914560234432297
12,music/EasyListening&Vocals/BARBARA_HASCAKOVA-Only_We_Are_Heremp3,0.10981379839685153, C#, major,0.2147324530924253, 89.8469924927,0.35017755372476433,0.24057758332396928,2.855647133531987e-06,0.1830608488370288
13,music/Rock&Pop/Aimee_Mann-Dear_Johnmp3,0.2084491217639724, C#, major,0.1834607366226546, 89.010925293,0.17488412398237246,0.34934280064520146,9.375248197260568e-07,0.18322754410780412
14,music/EasyListening&Vocals/smooth_gardener-chill_in_the_parkmp3,0.26160019585432426, C, major,0.17303683113273105, 89.9974060059,0.2446284175156146,0.24342408922152767,3.227102189714367e-06,0.18453855216527745
15,music/Country/Left_Tail_Light_Band-Lay_the_country_down_to_restmp3,0.11666692570262507, F, major,0.18971507991660877, 96.1345367432,0.5544386345303579,0.062070134318475766,2.5986342353812154e-06,0.18457867462046057
16,music/Soundtracks&More/Altham__McKerron-Servos_Revengemp3,0.21198879992792757, A, minor,0.17651146629603892, 90.0223846436,0.3522581271888782,0.18366001170244628,1.630853006753582e-06,0.18488400719365955
17,music/Religious/Randy_Vild-Jamesmp3,0.2112050779583822, E, major,0.1959694232105629, 90.0314254761,0.35355468010084173,0.1694283887737099,1.6964579546705332e-06,0.18603185330029026
18,music/Soundtracks&More/Dean_Krippaehne-Nothing_but_Christmasmp3,0.20177301307592949, F, major,0.19179986101459348, 88.9547424316,0.16749230977972332,0.3752521241462116,2.01786312466726e-06,0.1872638651759165
19,music/Rock&Pop/Davey_Ray_Moor-In_Too_Deepmp3,0.16990005891364715, G, major,0.18068102849200834, 88.5856552124,0.3132997081644716,0.2867109858393237,1.1129629080992558e-06,0.19011857887447176
20,music/Religious/Superchick-Me_Against_The_Worldmp3,0.286121053892489, F, major,0.19735927727588604, 90.020111084,0.33790163391541844,0.13367119259746404,2.1772010289881686e-06,0.1910110669764573
21,music/EasyListening&Vocals/Janet_Murphy-Ive_Got_Somethingmp3,0.1704845674474872, E, minor,0.17790132036136205, 89.9921417236,0.3734863782109383,0.23323915565104147,1.6191744243469956e-06,0.19102260816905064
22,music/Country/Broken_Radio-End_Of_The_Roadmp3,0.15639909190606088, A, minor,0.24391938846421127, 89.9616622925,0.32771982100701286,0.23807971093972793,7.576214393903507e-07,0.19322375398769048
23,music/Soundtracks&More/Flesh_Eating_Foundation-Nightmares_Before_Christmasmp3,0.11574968772990245, C#, major,0.19041000694927032, 90.4108810425,0.5257479967781977,0.13605941610433891,6.176034321166557e-06,0.19359465671920612
24,music/Rock&Pop/db4-coastlinemp3,0.2402267404092547, C, major,0.17581653926337734, 89.0040893555,0.22491121817121898,0.3365319795981683,1.385703681173244e-06,0.19549757262914008
25,music/Alternative&Punk/Showroom-The_Residence_of_Benmp3,0.2401736155408617, A, major,0.20569840166782488, 89.2017593384,0.22400609198346746,0.3077312475461349,2.8112886998024895e-06,0.19552243360539773
