,id,scaled_rp,key,scale,scaled_levenshtein,scaled_js,bpm,scaled_bh,scaled_rh,scaled_mfcc,scaled_corr,scaled_skl,aggregated
0,music/Modern&Soundtrack/Orchestral&Instrumental/WimMertens-StruggleforPleasure/02-StruggleforPleasuremp3,0.0, D#, major,0.0,0.0, 131.51348877,0.0,0.0,0.0,0.0,0.0,0.0
1,music/Modern&Soundtrack/HipHop/Mixtapemonkey/Dudes/JaydenTilley-Youngblood/JaydenTilley-Youngblood/03Ragermp3,0.1503928850090985, F#, major,0.0845448445537911,0.042456560811772646, 132.087875366,0.13471897728657917,0.13641330108409802,0.065976556046016,0.9426813969070111,3.4699518415846777e-12,0.19464806521272954
2,music/Country/Roy_Curry-Old_Dominionmp3,0.18069610179479448, G, major,0.08566316260344442,0.03592802059100322, 131.566040039,0.036947811065174106,0.0876043397415663,0.19875094191415005,0.9591758708841132,2.229153167605299e-12,0.19809578107455936
3,music/Metal&Rock/AlternativeMetal/AvengedSevenfold-TheStage/AvengedSevenfold-RomanSkymp3,0.13846224344544295, F, major,0.1095951688660255,0.045503669040407785, 129.75553894,0.29956978078907803,0.11099345824104082,0.1835310901032028,0.7475802880634241,2.1019312218764166e-12,0.2044044623188405
4,music/Metal&Rock/Compilations/RelapseSampler-RelapseSampler2016/DavieAllan-RelapseSampler2016-41BuzzSawEffectmp3,0.16644744035326264, E, major,0.08297919928427645,0.05640130489108753, 131.962936401,0.09163044471984072,0.09638920014881834,0.18256038690938778,0.9768766547807806,1.2894828038268482e-11,0.20666057888754358
5,music/Metal&Rock/Atmospheric&Nichtmetallisches/Wardruna-Yggdrasil/01RotlaustTreFellmp3,0.1818635978235093, E, major,0.093267725341087,0.06007765508988506, 129.672607422,0.32971204441103574,0.0968795261676561,0.09317522416092718,0.7998934935266091,5.4975240210015205e-12,0.20685865831577588
6,music/Metal&Rock/Atmospheric&Nichtmetallisches/Ulvesang-Ulvesang/01ThePurgemp3,0.14393936967689885, F, minor,0.1458286736747931,0.03926731878462136, 129.657806396,0.337192820283613,0.12387820962837481,0.09617193680974097,0.7879230673912236,1.561009502155805e-12,0.2092751745313533
7,music/Modern&Soundtrack/HipHop/Mixtapemonkey/Dudes/ChanceTheRapper-ColoringBook/ChanceTheRapper-ColoringBook_/01-AllWeGot(featKanyeWestChicagoChildrensChoir)mp3,0.1467155453024433, D#, major,0.08163721762469246,0.03870819619656056, 132.070831299,0.2009787671163301,0.11633285589894518,0.12077563084127178,0.9706560800038592,1.961998420085232e-12,0.20947553662325805
8,music/Metal&Rock/AlternativeMetal/AvengedSevenfold-TheStage/AvengedSevenfold-Highermp3,0.15949273832775823, G, minor,0.13531648400805188,0.04639040498316386, 129.554321289,0.38768467351997077,0.07505799189754316,0.08248544659235166,0.8013428464553369,4.3221077261590985e-12,0.21097132322356232
9,music/Metal&Rock/MelodicDeathMetal/AmonAmarth/AmonAmarth-SurturRising/AmonAmarth-DoomOverDeadManmp3,0.14137599334266024, G, major,0.11876537687318273,0.10499639211778326, 130.042907715,0.17455093758888302,0.09064873110265972,0.13686547819477743,0.9219912341947677,1.5592675150253042e-11,0.21114926792878833
